ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
can,2017,direccion,134096532.0,112A,Tribunales de Justicia
can,2017,direccion,5590293.0,112B,Relaciones con la Administración de Justicia
can,2017,direccion,3290985.0,112C,Ministerio Fiscal
can,2017,,22535859.0,132A,Seguridad y Emergencia
can,2017,,5028379.0,132B,Seguridad ciudadana
can,2017,direccion,1349249.0,142A,Acción de la Comunidad Autónoma en el Exterior
can,2017,direccion,5367257.0,143A,Cooperación economica y al desarrollo
can,2017,,16221384.0,231B,Coordinac y Planific de Polít Soc y atenc pers may
can,2017,discapacidad,13281498.0,231C,Planificación y Apoyo a los Servicios Sociales
can,2017,,3059554.0,231G,Prestaciones y otras Ayudas Sociales
can,2017,,38669566.0,231H,Prevenc. e Interv. en área del Menor y la Familia
can,2017,diversidad,55306502.0,231I,Fomento de la Inclusión Social
can,2017,,23303610.0,231K,Ejecución Medidas Judiciales Menores Infractores
can,2017,dependencia,118363914.0,231M,Atención a Personas en situación de Dependencia
can,2017,discapacidad,33874942.0,231N,Atención a Personas con Discapacidad
can,2017,diversidad,1576250.0,231P,Acciones a favor de los canarios en el exterior
can,2017,igualdad,3667453.0,232A,Promoción y Fomento Calidad de Vida de los Jóvenes
can,2017,igualdad,7813732.0,232B,Promoción Igualdad de Oportunidades para Mujeres
can,2017,direccion,10138822.0,239A,Dirección Administrativa y Servicios Generales
can,2017,empleo,64567875.0,241C,Fomento del Empleo
can,2017,vivienda,38502544.0,261A,"Dirección, Promoción y Gestión en mat. de Vivienda"
can,2017,vivienda,8380589.0,261E,Ordenación del territorio
can,2017,sanidad,3042677.0,311A,Dirección Administrativa y Servicios Generales
can,2017,sanidad,203984.0,311B,Formación Sanitaria y Social
can,2017,sanidad,2550676955.0,312A,Asistencia Sanitaria
can,2017,sanidad,2642848.0,312B,Hemodonación y Hemoterapia
can,2017,educacion,154548688.0,321A,Dirección Administrativa y Servicios Generales
can,2017,educacion,1112919.0,321B,Form. Permanente del Profesorado e Innov. Educat
can,2017,turismo,3518669.0,322A,Formación Profesional Turística
can,2017,educacion,534959303.0,322B,"Educación Infantil, Primaria y 1ª Ciclo de E.S.O"
can,2017,educacion,519539051.0,322C,Enseñanza Secundaria y Formación Profesional
can,2017,educacion,4803621.0,322D,Formación Profesional Específica
can,2017,educacion,215642216.0,322F,Financiación de las Universidades Canarias
can,2017,educacion,4831849.0,322H,Mejora de la Capacitación Agraria y Form. Profes
can,2017,educacion,4617747.0,322J,Formación Profesional Marítimo Pesquera
can,2017,educacion,37312416.0,322K,Enseñanzas Régimen Especial y Educación de Adultos
can,2017,educacion,14060050.0,323A,Apoyo a los Estudios Universitarios
can,2017,educacion,63224202.0,324C,Servicios Complem. a la Enseñanza no Universitaria
can,2017,direccion,3716028.0,331A,Dirección Administrativa y Servicios Generales
can,2017,,4307751.0,332A,Servicios bibliotecarios y archivisticos
can,2017,,8027528.0,334A,Promoción Cultural
can,2017,,150000.0,334B,Infraestructura Cultural
can,2017,,420669.0,334D,Promoción del libro y publicaciones culturales
can,2017,,7484165.0,336A,Deportes
can,2017,,3176535.0,337A,Patrimonio Cultural
can,2017,soberania,9289211.0,411A,Dirección Administrativa y Servicios Generales
can,2017,soberania,9002417.0,411B,Coord. Cámaras Agrar. y gest. ayudas FEAGA/FEADER
can,2017,soberania,7950291.0,412A,Mejora de Estructuras Agrarias y del Medio Rural
can,2017,soberania,6279456.0,412B,Ordenación y mejora de la producción agrícola
can,2017,soberania,5451024.0,412C,Desarrollo ganadero
can,2017,soberania,4184073.0,413A,Calidad Agroalimentaria
can,2017,soberania,15848558.0,415A,Desarrollo Pesquero
can,2017,soberania,6061170.0,415B,Estructuras Pesqueras
can,2017,soberania,2192375.0,415C,Ordenación e Inspección Pesquera
can,2017,direccion,7447184.0,421A,Dirección Administrativa y Servicios Generales
can,2017,,1519000.0,421B,Seguridad Industrial y Minera
can,2017,,16469539.0,425A,Desarrollo Energético
can,2017,,2518709.0,431A,Promoción Exterior
can,2017,,3275878.0,431B,Comercio Interior
