ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
cat,2016,direccion,1367088651.5500002,121,DIRECCIÓ I ADMINISTRACIÓ GENERALS
cat,2016,empleo,7349185.46,322,POLÍTIQUES DE DONES
cat,2016,,10442247.83,442,INTERNACIONALITZACIÓ DE LA CULTURA
cat,2016,,51249923.41,443,PATRIMONI CULTURAL
cat,2016,,66432694.08,551,PROTECCIÓ I CONSERVACIÓ DEL MEDI NATURAL I LA BIOD
cat,2016,,2045531.24,553,POLÍTIQUES I SENSIBILITZACIÓ AMBIENTALS
cat,2016,idi,58918312.51,573,R+D BIOMÈDICS I EN CIÈNCIES DE LA SALUT
cat,2016,turismo,53226979.12,651,"ORDENACIÓ, FOMENT I PROMOCIÓ TURÍSTICA"
cat,2016,direccion,135020.0,112,IMPULS I COORDINACIÓ DE L'ACCIÓ DE GOVERN
cat,2016,direccion,2252762.0,584,AVALUACIÓ DE POLÍTIQUES I ESTUDIS D'OPINIÓ
cat,2016,,60517097.16,471,ACTIVITAT FÍSICA I ESPORT
cat,2016,direccion,247196329.0,533,MITJANS DE COMUNICACIÓ SOCIAL
cat,2016,direccion,4544910.0,113,ATENCIÓ CIUTADANA I DIFUSIÓ DELS SERVEIS DE LA GEN
cat,2016,soberania,10829333.33,531,E-INFRAESTRUCTURES
cat,2016,idi,13097238.0,532,SOCIETAT DIGITAL
cat,2016,direccion,410000.0,124,"REGULACIÓ, CONTROL I GESTIÓ DEL JOC"
cat,2016,direccion,87963955.84,125,ADMINISTRACIÓ DE LES FINANCES DE LA GENERALITAT
cat,2016,,7072715.02,583,ESTADÍSTICA
cat,2016,,48133786.1,622,SUPORT A LA INDÚSTRIA
cat,2016,,36118862.0,641,ORDENACIÓ I PROMOCIÓ DEL COMERÇ I L'ARTESANIA
cat,2016,idi,38904850.70999999,661,EMPRENEDORIA I FOMENT EMPRESARIAL
cat,2016,direccion,400000.0,671,FOMENT I REGULACIÓ DEL SECTOR FINANCER I TUTELA FI
cat,2016,direccion,18225405.22,672,CRÈDIT OFICIAL
cat,2016,,1465246.94,681,PROMOCIÓ I DEFENSA DE LA COMPETÈNCIA
cat,2016,direccion,6790553916.09,911,DEUTE PÚBLIC
cat,2016,direccion,4849250.0,131,RELACIONS INSTITUCIONALS I QUALITAT DEMOCRÀTICA
cat,2016,direccion,15105878.93,231,RELACIONS EXTERIORS
cat,2016,igualdad,13610545.0,232,COOPERACIÓ AL DESENVOLUPAMENT
