ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
cnt,2022,direccion,8359335.0,911M,ACTIVIDAD LEGISLATIVA
cnt,2022,direccion,2253840.0,912M,PRESIDENCIA DEL GOBIERNO DE CANTABRIA
cnt,2022,direccion,6912974.0,921M,EXTERIOR
cnt,2022,,8358746.0,134M,PROTECCIÓN CIVIL
cnt,2022,,49026588.0,140B,REACT-UE
cnt,2022,direccion,9056538.0,921O,MANTENIMIENTO
cnt,2022,direccion,1014091.0,921P,PUBLICACIONES OFICIALES
cnt,2022,direccion,7218970.0,921N,DIRECCIÓN Y ORGANIZACIÓN DE LA FUNCIÓN PÚBLICA
cnt,2022,direccion,1959256.0,921Q,ASESORAMIENTO Y DEFENSA JURÍDICA
cnt,2022,,36026128.0,112M,ADMINISTRACIÓN DE JUSTICIA
cnt,2022,,139433413.0,140A,MECANISMO DE RECUPERACIÓN Y RESILIENCIA (MRR)
cnt,2022,idi,503557.0,462A,INNOVACIÓN Y CALIDAD DE LOS SERVICIOS
cnt,2022,,23896513.0,491M,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES
cnt,2022,,19928704.0,496M,ACTUACIONES EN EL ÁMBITO LOCAL Y ACCION EXTERIOR
cnt,2022,educacion,5313002.0,331M,"DIRECCIÓN Y SERVICIOS GENERALES DE UNIVERSIDADES, IGUALDAD, CULTURA Y DEPORTE"
cnt,2022,educacion,83111053.0,322B,ENSEÑANZAS UNIVERSITARIAS
cnt,2022,idi,5366348.0,461B,INVESTIGACIÓN CIENTÍFICA Y TRANSFERENCIA DEL CONOCIMIENTO
cnt,2022,,11404803.0,332A,CENTROS CULTURALES
cnt,2022,,3301029.0,332B,SERVICIO DE ARCHIVO Y BIBLIOTECAS
cnt,2022,,7275694.0,334A,GESTIÓN Y PROMOCIÓN CULTURAL
cnt,2022,,2642983.0,337A,PATRIMONIO CULTURAL
cnt,2022,,8935360.0,336A,FOMENTO Y APOYO A LAS ACTIVIDADES DEPORTIVAS
cnt,2022,igualdad,3519974.0,232B,FOMENTO DE LA IGUALDAD DE OPORTUNIDADES ENTRE MUJERES Y HOMBRES
cnt,2022,,1671500.0,232D,FOMENTO DE LA NATALIDAD
cnt,2022,,3323092.0,143A,COOPERACIÓN PARA EL DESARROLLO
cnt,2022,,3656140.0,232A,PROMOCIÓN Y SERVICIOS A LA JUVENTUD
cnt,2022,,24531966.0,451N,URBANISMO
cnt,2022,vivienda,3361927.0,261M,ACTUACIONES EN MATERIA DE ORDENACIÓN DEL TERRITORIO
cnt,2022,vivienda,3717580.0,261N,ACTUACIONES EN MATERIA DE URBANISMO Y ARQUITECTURA
