ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
cym,2015,direccion,1098791.0,912A01,PRESIDENCIA DE LA JUNTA
cym,2015,direccion,12764204.0,921A01,DIRECCIÓN Y SERVICIOS GENERALES DE PRESIDENCIA
cym,2015,diversidad,5598719.0,231B08,MIGRACIÓN Y COOPERACIÓN AL DESARROLLO
cym,2015,direccion,1674376.0,912D02,RELACIONES INSTITUCIONALES
cym,2015,direccion,1629993.0,912E01,ANÁLISIS Y PLANIFICACIÓN DE LA ACCIÓN DEL GOBIERNO
cym,2015,direccion,1661521.0,912C01,INFORMACIÓN Y COMUNICACIÓN
cym,2015,direccion,140700.0,111A01,DIRECCIÓN Y SERVICIOS GENERALES DE JUSTICIA
cym,2015,direccion,960582.0,921A04,ASESORAMIENTO Y DEFENSA INTERESES DE LA COMUNIDAD
cym,2015,direccion,4154392.0,924A01,ELECCIONES A CORTES DE CASTILLA Y LEÓN
cym,2015,direccion,73855766.0,941A02,COOPERACIÓN ECONÓMICA LOCAL
cym,2015,direccion,5661941.0,921A02,INSTALACIONES Y COBERTURA DE LOS SERVICIOS
cym,2015,direccion,3208686.0,923A01,GESTIÓN DEL PATRIMONIO Y EDIFICIOS ADMINISTRATIVOS
cym,2015,direccion,39850200.0,923C01,DIRECCIÓN Y SERVICIOS GENERALES DE HACIENDA
cym,2015,direccion,10323806.0,932A01,TRIBUTOS Y FINANCIACIÓN AUTONÓMICA
cym,2015,idi,663260.0,467B03,"ESTUDIOS E INVESTIG.ESTADÍSTICOS,ECONÓMICOS Y SOC."
cym,2015,direccion,760128.0,923B01,ELABORACIÓN Y DIFUSIÓN ESTADÍSTICA
cym,2015,direccion,3380025.0,931A02,PRESUPUESTAC. Y SEGUIMIENTO DE FONDOS COMUNITARIOS
cym,2015,direccion,9166504.0,941A01,DELEG. Y TRANSF. COMPETENCIAS A ENTIDADES LOCALES
cym,2015,direccion,17977098.0,931A03,CONTROL INTERNO Y CONTABILIDAD PÚBLICA
cym,2015,direccion,2591348.0,923C02,GESTIÓN DE LA TESORERÍA
cym,2015,direccion,8675634.0,921B01,DIRECCIÓN Y ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA
cym,2015,direccion,2295026.0,921B02,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL
cym,2015,idi,19059829.0,491A01,TECNOLOGÍAS INFORMAC.Y COMUNICACIONES ADM. REG.
cym,2015,direccion,2494340.0,921A03,MODERNIZACIÓN Y CALIDAD DE LOS SERVICIOS
cym,2015,soberania,47666828.0,411A01,ADMINISTRACIÓN GENERAL AGRARIA
cym,2015,soberania,185661168.0,412A01,APOYO EMPRESA AGRARIA
cym,2015,idi,59478621.0,467B01,INVESTIGAC.APLICADA Y DESARROLLO EN OTROS SECTORES
cym,2015,educacion,2480981.0,322C01,ENSEÑANZA AGRARIA
