ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
ext,2020,direccion,13929940.0,111A,ACTIVIDAD LEGISLATIVA
ext,2020,direccion,896815.0,111B,ACTIVIDAD CONSULTIVA
ext,2020,direccion,6026170.0,112A,DIRECCIÓN Y ADMINISTRACIÓN DE PRESIDENCIA
ext,2020,direccion,9583040.0,113A,113A
ext,2020,direccion,5440216.0,113B,113B
ext,2020,direccion,7174390.0,113C,ADMINISTRACIÓN TRIBUTARIA
ext,2020,direccion,1890687.0,113D,ADMINISTRACIÓN DEL PATRIMONIO
ext,2020,direccion,6407202.0,113E,CONTROL INTERNO Y CONTABILIDAD PÚBLICA
ext,2020,direccion,6338808.0,114A,114A
ext,2020,direccion,2149562.0,114B,EVALUACIÓN Y CALIDAD DE LOS SERVICIOS
ext,2020,direccion,2217735.0,114C,114C
ext,2020,direccion,3220058.0,114D,114D
ext,2020,direccion,28120840.0,115A,RELACIONES INSTITUCIONALES E INFORMATIVAS
ext,2020,direccion,44917154.0,115B,RELACIONES CON LA ADMINISTRACIÓN LOCAL
ext,2020,direccion,7977743.0,116A,PROTECCIÓN CIVIL E INTERIOR
ext,2020,direccion,586931392.0,121A,121A
ext,2020,direccion,5000000.0,131B,FONDO DE CONTINGENCIA
ext,2020,sanidad,63562373.0,211A,DIRECCIÓN Y ADMINISTRACIÓN DE SANIDAD
ext,2020,sanidad,35500140.0,211B,"FORMACIÓN, INSPECCIÓN Y CALIDAD SANITARIAS"
ext,2020,sanidad,4133960.0,212A,PLANIFICACIÓN Y ORDENACIÓN SANITARIAS
ext,2020,sanidad,648926790.0,212B,ATENCIÓN PRIMARIA DE SALUD
ext,2020,sanidad,980736009.0,212C,ATENCIÓN ESPECIALIZADA DE SALUD
ext,2020,sanidad,9661216.0,212D,SALUD PÚBLICA
ext,2020,educacion,18794236.0,221A,DIRECCIÓN Y ADMINISTRACIÓN DE EDUCACIÓN
ext,2020,educacion,6926534.0,221B,FORMACIÓN DEL PROFESORADO DE EDUCACIÓN
ext,2020,educacion,377250272.0,222A,EDUCACIÓN INFANTIL Y PRIMARIA
