ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
gal,2025,direccion,6709836.0,111A,PRESIDENCIA DA XUNTA DE GALICIA
gal,2025,direccion,25097000.0,111B,ACTIVIDADE LEXISLATIVA
gal,2025,direccion,9921639.0,111C,CONTROL EXTERNO DO SECTOR PÚBLICO
gal,2025,direccion,5732926.0,111D,ALTO ASESORAMENTO DA COMUNIDADE AUTÓNOMA DE GALICIA.
gal,2025,direccion,2183766.0,111E,RELACIÓNS EXTERIORES
gal,2025,direccion,74486646.0,121A,DIRECCIÓN E SERVIZOS XERAIS DE ADMON XERAL E PERIFERICA DA XUNTA DE GALICIA
gal,2025,direccion,3430860.0,121B,ASESORAMENTO E DEFENSA DOS INTERESES DA COMUNIDADE AUTÓNOMA
gal,2025,direccion,970943.0,121C,RELACIÓNS INSTITUCIONAIS
gal,2025,direccion,3099152.0,122A,AVALIACIÓN E CALIDADE DA ADMINISTRACIÓN PÚBLICA
gal,2025,direccion,5040377.0,122B,FORMACIÓN E PERFECCIONAMENTO DO PERSOAL DA ADMINISTRACIÓN DA C.A.
gal,2025,direccion,300000.0,123A,ACCIÓN SOCIAL EN FAVOR DO PERSOAL DA ADMINISTRACIÓN
gal,2025,direccion,9866678.0,124A,"DIRECCIÓN, MODERNIZACIÓN E XESTIÓN DA FUNCIÓN PUBLICA"
gal,2025,direccion,192521425.0,131A,ADMINISTRACIÓN DE XUSTIZA
gal,2025,direccion,22692362.0,141A,ADMINISTRACIÓN LOCAL
gal,2025,diversidad,11964171.0,151A,FOMENTO DA LINGUA GALEGA
gal,2025,direccion,2000000.0,161A,ELECCIÓNS E PARTIDOS POLÍTICOS
gal,2025,direccion,40153725.0,212A,PROTECCIÓN CIVIL E SEGURIDADE DA COMUNIDADE AUTÓNOMA
gal,2025,,97993788.0,311A,DIRECCIÓN E SERVIZOS XERAIS DE PROMOCIÓN SOCIAL
gal,2025,,89046511.0,312A,PROTECCIÓN E INSERCIÓN SOCIAL
gal,2025,,262725432.0,312B,PROGRAMAS DE PRESTACIÓNS ÁS FAMILIAS E Á INFANCIA
gal,2025,diversidad,24023714.0,312C,SERVIZOS SOCIAIS RELATIVOS ÁS MIGRACIÓNS
gal,2025,dependencia,728316051.0,312D,PROGRAMA DE ATENCIÓN Á DEPENDENCIA
gal,2025,dependencia,69351646.0,312E,PROMOCIÓN DA AUTONOMÍA PERSOAL E PREVENCION DA DEPENDENCIA PARA PERSOAS CON
gal,2025,,2631194.0,312F,PROGRAMAS DE SOLIDARIEDADE
gal,2025,,9510410.0,312G,APOIO Á CONCILIACIÓN DA VIDA LABORAL E PERSOAL E OUTROS SERVIZOS DE PROTECCIÓN
gal,2025,diversidad,22154490.0,313A,SERVIZOS Á XUVENTUDE
gal,2025,igualdad,17572099.0,313B,"ACCIÓNS PARA A IGUALDADE, PROTECCIÓN E PROMOCIÓN DA MULLER"
gal,2025,,55914419.0,313C,SERVIZOS SOCIAIS COMUNITARIOS
gal,2025,igualdad,26467046.0,313D,PROTECCIÓN E APOIO ÁS MULLERES QUE SOFREN VIOLENCIA DE XÉNERO
gal,2025,empleo,11313441.0,321A,DIRECCIÓN E SERVIZOS XERAIS DE EMPREGO
gal,2025,empleo,72232081.0,322A,MELLORA E FOMENTO DA EMPREGABILIDADE
gal,2025,empleo,137924248.0,322C,"PROMOCIÓN DO EMPREGO, DO EMPREGO AUTÓNOMO E DO MERCADO DE TRABALLO INCLUSIVO"
gal,2025,empleo,134901345.0,323A,FORMACIÓN PROFESIONAL DESEMPREGADOS
gal,2025,empleo,19827346.0,323B,FORMACIÓN PROFESIONAL DE OCUPADOS
gal,2025,empleo,25885970.0,324A,MELLORA DA ORGANIZACIÓN E ADMINISTRACIÓN DAS RELACIÓNS LABORAIS E DA PREVENCIÓN
gal,2025,empleo,755520.0,324B,MELLORA DOS SISTEMAS DE SAÚDE E SEGURIDADE NO TRABALLO
gal,2025,empleo,44853618.0,324C,PROMOCIÓN DA ECONOMIA SOCIAL
gal,2025,diversidad,9864381.0,331A,COOPERACIÓN EXTERIOR E AO DESENVOLVEMENTO
gal,2025,sanidad,5109379633.0,411A,DIRECCIÓN E SERVIZOS XERAIS DE SANIDADE
gal,2025,sanidad,104086547.0,413A,PROTECCIÓN E PROMOCIÓN DA SAÚDE PÚBLICA
gal,2025,educacion,39420700.0,421A,DIRECCIÓN E SERVIZOS XERAIS DE EDUCACIÓN
