ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
mad,2026,direccion,40728400.0,01001,ASAMBLEA DE MADRID
mad,2026,direccion,11321789.0,02001,CÁMARA DE CUENTAS DE LA COMUNIDAD DE MADRID
mad,2026,direccion,1715456.0,03001,PRESIDENCIA DE LA COMUNIDAD DE MADRID
mad,2026,direccion,28224421.0,04001,"S.G.T. DE CULTURA, TURISMO Y DEPORTE"
mad,2026,,86464426.0,04010,D.G. DE CULTURA E INDUSTRIAS CREATIVAS
mad,2026,,67498050.0,04011,D.G. DE PATRIMONIO CULTURAL Y OFICINA DEL ESPAÑOL
mad,2026,turismo,57406038.0,04012,D.G. DE TURISMO Y HOSTELERIA
mad,2026,,5489984.0,04013,MUSEO ARQUEOLÓGICO Y PALEONTOLÓGICO DE LA
mad,2026,,55218787.0,04014,D.G. DE DEPORTES
mad,2026,direccion,370903289.0,07001,S.G.T. DE DIGITALIZACIÓN
mad,2026,,52750235.0,07012,D.G. DE ESTRATEGIA DIGITAL
mad,2026,sanidad,110408904.0,07013,D.G.SALUD DIGITAL
mad,2026,direccion,141623389.0,11001,"S.G.T. DE PRESIDENCIA,JUSTICIA Y ADMINISTRACIÓN"
mad,2026,,10704421.0,11014,ABOGACÍA GENERAL
mad,2026,,15496032.0,11015,D.G. DE ATENCIÓN AL CIUDADANO Y TRANSPARENCIA
mad,2026,,5465588.0,11016,D.G. DE MEDIOS DE COMUNICACIÓN
mad,2026,,3754920.0,11018,D.G. DE COOPERACIÓN CON EL ESTADO Y LA UNIÓN
mad,2026,direccion,1548802.0,11020,COMISIÓN JURÍDICA ASESORA
mad,2026,,231127043.0,11021,D.G. DE INVERSIONES Y DESARROLLO LOCAL
mad,2026,,466768103.0,11022,D.G. DE RECURSOS HUMANOS Y RELACIONES CON LA
mad,2026,,222636498.0,11023,D.G. DE INFRAESTRUCTURAS JUDICIALES
mad,2026,,63065669.0,11024,D.G.REEQUILIBRIO TERRITORIAL
mad,2026,direccion,47934446.0,12001,"S.G.T. DE ECONOMÍA, HACIENDA Y EMPLEO"
mad,2026,,16039850.0,12013,"D.G. DE COMERCIO, CONSUMO Y SERVICIOS"
mad,2026,,10997213.0,12014,D.G.RECURSOS HUMANOS
mad,2026,,8859827.0,12015,D.G. DE PRESUPUESTOS
mad,2026,,40560770.0,12016,D.G. DE TRIBUTOS
mad,2026,,6071315.0,12017,D.G. DE POLÍTICA FINANCIERA Y TESORERÍA
mad,2026,direccion,30674094.0,12018,INTERVENCIÓN GENERAL
mad,2026,,2109639.0,12019,INSTITUTO REGIONAL DE ARBITRAJE DE CONSUMO
mad,2026,direccion,30795434.0,12024,D.G. DE FUNCIÓN PÚBLICA
mad,2026,,28783744.0,12025,D.G. DE PATRIMONIO Y CONTRATACIÓN
mad,2026,,67514978.0,12026,D.G. DE ECONOMÍA E INDUSTRIA
mad,2026,,46549990.0,12027,D.G. DE AUTÓNOMOS Y EMPRENDIMIENTO
mad,2026,direccion,24356793.0,14001,"S.G.T. DE VIVIENDA,TRANSPORTES E"
mad,2026,,12933270.0,14010,D.G. DE TRANSPORTES Y MOVILIDAD
mad,2026,,246831725.0,14012,D.G. DE CARRETERAS
mad,2026,,312307826.0,14013,D.G. DE INFRAESTRUCTURAS DE TRANSPORTE
mad,2026,vivienda,509701935.0,14014,D.G. DE VIVIENDA Y REHABILITACIÓN
mad,2026,educacion,35016933.0,15001,"S.G.T. DE EDUCACIÓN, CIENCIA Y UNIVERSIDADES"
mad,2026,,26220490.0,15002,VICECONSEJERÍA DE POLITICA Y ORGANIZACIÓN
mad,2026,educacion,128714415.0,15010,"D.G. DE EDUCACIÓN INFANTIL, PRIMARIA Y ESPECIAL"
mad,2026,educacion,120632421.0,15011,"D.G. DE EDUCACIÓN SECUNDARIA, FORMACIÓN"
