ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
mur,2022,direccion,1580049230.0,011A,AMORTIZAC.Y GTOS.FINANC.DEUDA PBCA.Y OTRAS OPERACI
mur,2022,direccion,13662328.0,111A,ASAMBLEA REGIONAL
mur,2022,direccion,528017.0,111C,CONSEJO DE LA TRANSPARENCIA DE LA REGIÓN DE MURCIA
mur,2022,direccion,1927049.0,112B,COMUNICACIÓN Y ASISTENCIA INFORMATIVA DE LA C.A.
mur,2022,direccion,1069854.0,112C,ASISTENCIA CONSULTIVA DE LA C.A.R.M.
mur,2022,direccion,23320968.0,112D,COMUNICACIÓN AUDIOVISUAL
mur,2022,direccion,620519.0,112E,SERVICIOS GRALES SECRETARÍA GRAL DE LA PRESIDENCIA
mur,2022,direccion,163845.0,112F,COORDINAC.CON LA ASAMBLEA REGIONAL Y RELAC.INSTIT.
mur,2022,direccion,17130126.0,121B,FUNCIÓN PÚBLICA
mur,2022,direccion,1803572.0,121C,ESCUELA DE FORMAC. E INNOV. DE LA ADMON. REGIONAL
mur,2022,direccion,4033719.0,121D,ATENCION AL CIUDADANO
mur,2022,direccion,215751.0,121F,EDIFICIOS FORO
mur,2022,direccion,706628.0,121H,EDIFICIO ADMINISTRATIVO INFANTE
mur,2022,direccion,1644728.0,124A,ASESORAMIENTO Y ASISTENCIA TÉCNICA A MUNICIPIOS
mur,2022,direccion,280674.0,124B,COORDINACIÓN DE POLICIAS LOCALES
mur,2022,direccion,1953437.0,126A,ASISTENCIA JURÍDICA DE LA COMUNIDAD
mur,2022,direccion,4299110.0,126D,PARQUE MÓVIL REGIONAL
mur,2022,direccion,1025617.0,126E,RELACIONES CON LA UNIÓN EUROPEA
mur,2022,direccion,4838694.0,126F,"VIGILANCIA, SEGURIDAD Y CONTROL ACCESOS"
mur,2022,direccion,903127.0,126I,COOPERACIÓN INTERNAC. AL DESARR. Y ACCIÓN EXTERIOR
mur,2022,direccion,42041101.0,126J,CENTRO REGIONAL DE INFORMATICA
mur,2022,direccion,857289.0,126K,TRANSPARENCIA Y PARTICIPACION CIUDADANA
mur,2022,direccion,1614080.0,126L,DIRECCIÓN Y SERVICIOS GENERALES DE TRANSPARENCIA
mur,2022,direccion,1221189.0,126M,MODERNIZACIÓN Y SIMPLIFICACIÓN ADMINISTRATIVA
