ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
nav,2020,educacion,11726015.0,32.3211,Educación / Dirección y servicios generales de educación
nav,2020,educacion,459242046.0,32.3220,Educación / Dirección y servicios generales de enseñanza
nav,2020,educacion,82700.0,32.3242,Educación / Apoyo a otras actividades educativas
nav,2020,educacion,23209599.0,32.3251,"Educación / Construcción, equipamiento y material didáctico"
nav,2020,educacion,47929197.0,32.322D,Educación / Educación primaria
nav,2020,educacion,4484104.0,32.3231,Educación / Becas y ayudas a estudiantes
nav,2020,educacion,30939070.0,32.3221,Educación / Educación infantil
nav,2020,educacion,38906438.0,32.3222,Educación / Educación secundaria
nav,2020,educacion,12477775.0,32.3224,Educación / Educación especial
nav,2020,educacion,11439935.0,32.322C,Educación / Bachillerato
nav,2020,educacion,12746647.0,32.322E,Educación / Formación profesional
nav,2020,educacion,18510010.0,32.3241,Educación / Servicios complementarios de la enseñanza
nav,2020,educacion,1586293.0,32.3212,Educación / Formación permanente del profesorado de Educación
nav,2020,educacion,5827962.0,32.322A,Educación / Nuevas tecnologías aplicadas a la educación
nav,2020,educacion,1992468.0,32.3229,"Educación / Otras enseñanzas (idiomas, especiales y otros)"
nav,2020,educacion,4018165.0,32.3225,Educación / Enseñanzas artísticas
nav,2020,educacion,87801.0,32.3227,Educación / Educación compensatoria y de adultos
nav,2020,educacion,72856230.0,32.3223,Educación / Enseñanzas universitarias
nav,2020,educacion,175000.0,32.322G,Educación / Deporte en edad escolar y en la universidad
nav,2020,diversidad,30122370.0,23.2317,Servicios sociales y promoción social / Atención a la infancia
nav,2020,diversidad,6929375.0,23.2331,Servicios sociales y promoción social / Dirección y servicios generales de protección social
nav,2020,diversidad,16715543.0,23.2310,Servicios sociales y promoción social / Programación general de protección y promoción social
nav,2020,diversidad,8799471.0,23.2316,Servicios sociales y promoción social / Reinserción social
nav,2020,diversidad,124447887.0,23.2315,Servicios sociales y promoción social / Protección a la familia
nav,2020,diversidad,2469702.0,23.2319,Servicios sociales y promoción social / Integración de los inmigrantes
nav,2020,dependencia,165529340.0,23.231B,Servicios sociales y promoción social / Autonomía personal y atención a la dependencia
nav,2020,igualdad,3021807.0,23.2322,Servicios sociales y promoción social / Igualdad de oportunidades entre mujeres y hombres
nav,2020,igualdad,1755785.0,23.2323,Servicios sociales y promoción social / Actuaciones para la previsión integral de la violencia de género
nav,2020,igualdad,2747147.0,23.2321,Servicios sociales y promoción social / Promoción y servicios a la juventud
nav,2020,diversidad,2998628.0,23.2325,Servicios sociales y promoción social / Memoria y convivencia
nav,2020,empleo,10959983.0,24.2421,Fomento del empleo / Formación profesional ocupacional
nav,2020,empleo,9375844.0,24.2413,Fomento del empleo / Actuaciones en el mercado de trabajo
nav,2020,empleo,27158513.0,24.2411,Fomento del empleo / Fomento de la inserción y estabilidad laboral
nav,2020,empleo,4852000.0,24.2412,Fomento del empleo / Desarrollo de la economía social y de la responsabilidad social de las empresas
nav,2020,empleo,5000000.0,24.2422,"Fomento del empleo / Escuelas taller, casas de oficios y talleres de empleo"
nav,2020,,16060095.0,33.3341,Cultura / Promoción y cooperación cultural
nav,2020,,15754954.0,33.3361,Cultura / Fomento y apoyo de las actividades deportivas
nav,2020,direccion,4949083.0,33.3311,Cultura / Dirección y servicios generales de cultura
nav,2020,,4481418.0,33.3371,"Cultura / Administración, conservación y restauración del patrimonio histórico"
nav,2020,,230010.0,33.3374,Cultura / Arqueología
nav,2020,,5978000.0,33.3351,Cultura / Música y danza
nav,2020,,5116612.0,33.3331,Cultura / Museos
nav,2020,,5365392.0,33.3322,Cultura / Bibliotecas
nav,2020,,3008568.0,33.3321,Cultura / Archivos
nav,2020,,263033.0,33.3342,Cultura / Promoción del libro y publicaciones culturales
nav,2020,,38000.0,33.3372,Cultura / Conservación y restauración de bienes culturales
nav,2020,direccion,5153542.0,45.4512,Infraestructuras / Dirección y servicios generales de obras públicas
nav,2020,,46262080.0,45.4533,Infraestructuras / Conservación y explotación de carreteras
nav,2020,,80810775.0,45.4532,Infraestructuras / Creación de infraestructura de carreteras
nav,2020,,1436100.0,45.4511,Infraestructuras / Estudios y servicios de asistencia técnica en obras públicas
nav,2020,,11253591.0,45.4562,Infraestructuras / Protección y mejora del medio ambiente
nav,2020,,14702915.0,45.4521,Infraestructuras / Gestión e infraestructuras de recursos hidráulicos
nav,2020,,45030.0,45.4531,Infraestructuras / Infraestructura del transporte ferroviario
nav,2020,,6380040.0,45.4563,Infraestructuras / Protección y mejora del medio natural
nav,2020,direccion,360440.0,45.4514,Infraestructuras / Dirección y servicios generales del transporte
nav,2020,,782270.0,45.4534,Infraestructuras / Ordenación e inspección del transporte terrestre
nav,2020,direccion,210134.0,45.4513,Infraestructuras / Dirección y servicios generales de medio ambiente
nav,2020,,473379.0,45.4566,Infraestructuras / Creación y mejora de comunales y pastos
nav,2020,,10009870.0,45.4567,Infraestructuras / Conservación y mejora de masas forestales
nav,2020,direccion,152000.0,45.4565,Infraestructuras / Prevención y extinción de incendios
nav,2020,,6796200.0,45.4561,Infraestructuras / Calidad del agua
nav,2020,,507450.0,45.4591,Infraestructuras / Electrificación y alumbrado
nav,2020,,866234.0,45.45A2,Infraestructuras / Creación y conservación de caminos rurales
nav,2020,,835000.0,45.45B1,Infraestructuras / Otros servicios del bienestar comunitario
nav,2020,,4372263.0,45.4581,Infraestructuras / Infraestructura industrial
nav,2020,,323177.0,45.4569,Infraestructuras / Actuaciones para la prevención de la contaminación y el cambio climático
nav,2020,,92250.0,45.45A1,Infraestructuras / Protección y conservación de vías pecuarias
nav,2020,,570000.0,45.4523,Infraestructuras / Estabilización de márgenes fluviales
nav,2020,direccion,1253307.0,45.4516,Infraestructuras / Dirección y servicios generales de urbanismo
nav,2020,vivienda,1449372.0,26.2611,Acceso a la vivienda y fomento de la edificación / Dirección y servicios generales de vivienda
nav,2020,vivienda,2517220.0,26.2617,Acceso a la vivienda y fomento de la edificación / Urbanismo y política del suelo
nav,2020,vivienda,100010.0,26.2612,Acceso a la vivienda y fomento de la edificación / Promoción y administración de viviendas
nav,2020,vivienda,70010.0,26.2615,Acceso a la vivienda y fomento de la edificación / Mantenimiento y mejora del patrimonio inmobiliario
nav,2020,vivienda,42054844.0,26.2614,"Acceso a la vivienda y fomento de la edificación / Ayudas para rehabilitación, construcción y acceso a la vivienda"
nav,2020,vivienda,11804331.0,26.2616,Acceso a la vivienda y fomento de la edificación / Mantenimiento y mejora de la infraestructura urbana en el ámbito municipal
nav,2020,,610010.0,49.4951,Otras actuaciones de carácter económico / Desarrollo y aplicación de la información geográfica
nav,2020,,1056040.0,49.4923,Otras actuaciones de carácter económico / Protección y promoción de los derechos de los consumidores y usuarios
nav,2020,idi,2204314.0,49.4911,"Otras actuaciones de carácter económico / Ordenación, administración y promoción de las telecomunicaciones y de la sociedad de la información"
nav,2020,,1029687.0,49.4933,Otras actuaciones de carácter económico / Regulación contable y de auditorías
nav,2020,empleo,5335242.0,49.4941,Otras actuaciones de carácter económico / Administración de las relaciones laborales y condiciones de trabajo
nav,2020,,3220924.0,49.4913,Otras actuaciones de carácter económico / Mantenimiento y ampliación de la red telefónica y radiotelefónica
nav,2020,,2011000.0,49.4914,Otras actuaciones de carácter económico / Mantenimiento y ampliación de la red de televisión
nav,2020,,30507133.0,44.4411,Subvenciones al transporte / Subvenciones y apoyo al transporte terrestre
nav,2020,direccion,15569816.0,91.9112,Alta dirección / Actividad legislativa
nav,2020,direccion,2996627.0,91.9113,Alta dirección / Control externo del sector público
nav,2020,direccion,372128.0,91.9121,Alta dirección / Gobierno de Navarra
nav,2020,direccion,703382.0,91.9122,Alta dirección / Alto asesoramiento de la Comunidad Foral de Navarra
nav,2020,,15209901.0,21.2121,Pensiones / Pensiones no contributivas y prestaciones asistenciales
nav,2020,,103643027.0,21.2111,Pensiones / Pensiones contributivas
nav,2020,direccion,13575302.0,14.1431,Política exterior / Cooperación para el desarrollo
nav,2020,direccion,432010.0,14.1441,"Política exterior / Cooperación, promoción y difusión cultural en el exterior"
nav,2020,direccion,1653915.0,14.1451,Política exterior / Relaciones con la Unión Europea
nav,2020,direccion,2043960.0,14.1461,Política exterior / Relaciones con el exterior
nav,2020,,166250.0,42.4213,"Industria y energía / Calidad, competitividad y seguridad industrial"
nav,2020,direccion,4897950.0,42.4211,Industria y energía / Dirección y servicios generales de industria y energía
nav,2020,,2927097.0,42.4252,Industria y energía / Incentivos sobre medidas energéticas
nav,2020,,13876340.0,42.4222,Industria y energía / Desarrollo industrial
nav,2020,direccion,17449516.0,92.9234,Servicios de carácter general / Dirección y servicios generales de economía y hacienda
nav,2020,direccion,19797542.0,92.9211,"Servicios de carácter general / Dirección, organización y servicios generales de la Administración Pública"
nav,2020,direccion,1802953.0,92.921B,Servicios de carácter general / Coordinación de servicios generales
nav,2020,direccion,442449.0,92.9216,Servicios de carácter general / Edición y confección de boletines oficiales
nav,2020,direccion,868918.0,92.9217,Servicios de carácter general / Asesoramiento y defensa
nav,2020,direccion,796636.0,92.921A,Servicios de carácter general / Tramitación y resolución de recursos administrativos
nav,2020,direccion,41431333.0,92.9214,"Servicios de carácter general / Administración, gestión y control de personal"
nav,2020,direccion,1897368.0,92.9213,"Servicios de carácter general / Selección, formación, promoción y representación del personal"
nav,2020,direccion,4229332.0,92.9218,"Servicios de carácter general / Conservación y mantenimiento de vehículos, maquinaria, instalaciones y otros"
nav,2020,direccion,587812.0,92.9219,Servicios de carácter general / Impresos y publicaciones
nav,2020,direccion,3355682.0,92.9215,Servicios de carácter general / Cobertura informativa
nav,2020,direccion,854071.0,92.9221,Servicios de carácter general / Dirección y servicios generales de Política Territorial
nav,2020,direccion,83650.0,92.9222,Servicios de carácter general / Coordinación y relaciones financieras con entidades locales
nav,2020,direccion,1015724.0,92.9224,"Servicios de carácter general / Apoyo en aspectos técnicos, jurídicos o económicos"
nav,2020,direccion,12010.0,92.9223,Servicios de carácter general / Régimen jurídico y de personal de la administración local
nav,2020,direccion,3050669.0,92.9239,Servicios de carácter general / Servicios de apoyo a economía y hacienda
nav,2020,direccion,161305.0,92.9237,Servicios de carácter general / Gestión de tesorería
nav,2020,direccion,9789626.0,92.9231,Servicios de carácter general / Gestión del patrimonio
nav,2020,direccion,1256264.0,92.9233,Servicios de carácter general / Elaboración y difusión estadística
nav,2020,direccion,1414089.0,92.9249,Servicios de carácter general / Otras formas de participación ciudadana
nav,2020,direccion,25355975.0,92.921C,Servicios de carácter general / Informática
nav,2020,idi,45254429.0,46.4673,"Investigación, desarrollo e innovación / Investigación y desarrollo tecnológico-industrial"
nav,2020,idi,235000.0,46.4691,"Investigación, desarrollo e innovación / Otras Innovaciones Tecnológicas"
nav,2020,idi,10.0,46.4677,"Investigación, desarrollo e innovación / Investigación y desarrollo de la sociedad de la información"
nav,2020,idi,3051969.0,46.4679,"Investigación, desarrollo e innovación / Innovación tecnológica de las telecomunicaciones"
nav,2020,idi,5498348.0,46.4651,"Investigación, desarrollo e innovación / Investigación sanitaria"
nav,2020,idi,807951.0,46.4681,"Investigación, desarrollo e innovación / Estudios técnicos en el sector agrario"
nav,2020,idi,2236407.0,46.4674,"Investigación, desarrollo e innovación / Investigación y experimentación agraria y forestal"
nav,2020,direccion,61613174.0,13.1321,Seguridad ciudadana e instituciones penitenciarias / Seguridad ciudadana
nav,2020,direccion,5326540.0,13.1311,Seguridad ciudadana e instituciones penitenciarias / Dirección y servicios generales de seguridad y protección civil
nav,2020,direccion,155000.0,13.1322,Seguridad ciudadana e instituciones penitenciarias / Seguridad vial
nav,2020,direccion,29538329.0,13.1342,Seguridad ciudadana e instituciones penitenciarias / Prevención y extinción de incendios y salvamento
nav,2020,direccion,5142214.0,13.1341,Seguridad ciudadana e instituciones penitenciarias / Protección civil
nav,2020,direccion,2279547.0,11.1112,Justicia / Dirección y servicios generales de justicia
nav,2020,direccion,30702485.0,11.1121,Justicia / Órganos judiciales
nav,2020,,2788010.0,22.2241,Otras prestaciones económicas / Otras prestaciones económicas
nav,2020,direccion,15890241.0,94.9423,Transferencias a otras administraciones públicas / Otras transferencias
nav,2020,direccion,200603.0,94.9424,Transferencias a otras administraciones públicas / Transferencias a entidades locales para cooperar en obras y servicios
nav,2020,direccion,585686575.0,94.9411,Transferencias a otras administraciones públicas / Convenio económico con el Estado
nav,2020,direccion,236955252.0,94.9421,Transferencias a otras administraciones públicas / Participación en los tributos de la Hacienda Pública de Navarra
nav,2020,sanidad,132272385.0,31.3111,Sanidad / Dirección y servicios generales de sanidad y política social
nav,2020,sanidad,26140660.0,31.3139,Sanidad / Otras acciones públicas de protección de la salud
nav,2020,sanidad,719768.0,31.3112,Sanidad / Formación sanitaria
nav,2020,sanidad,139180.0,31.3132,Sanidad / Salud pública y sanidad exterior
nav,2020,sanidad,24224463.0,31.3128,Sanidad / Infraestructura y equipamiento de centros sanitarios
nav,2020,salud_mental,36296315.0,31.3124,Sanidad / Asistencia psiquiátrica y psíquica
nav,2020,sanidad,621800334.0,31.3123,Sanidad / Atención especializada de salud
nav,2020,sanidad,158926938.0,31.3122,Sanidad / Atención primaria de salud
nav,2020,sanidad,151960010.0,31.3131,Sanidad / Oferta y uso racional de medicamentos y productos sanitarios
nav,2020,sanidad,6047675.0,31.3127,Sanidad / Servicios auxiliares de centros sanitarios
nav,2020,turismo,8139287.0,43.4321,"Comercio, Turismo y Pymes / Coordinación y promoción del turismo"
nav,2020,turismo,1725010.0,43.4314,"Comercio, Turismo y Pymes / Ordenación y modernización de las estructuras comerciales"
nav,2020,turismo,775000.0,43.4313,"Comercio, Turismo y Pymes / Ordenación y promoción del comercio exterior"
nav,2020,direccion,475401.0,43.4312,"Comercio, Turismo y Pymes / Dirección y servicios generales de comercio y turismo"
nav,2020,soberania,14805323.0,41.4111,"Agricultura, ganadería y alimentación / Dirección y servicios generales de agricultura, ganadería y alimentación"
nav,2020,soberania,27474904.0,41.4121,"Agricultura, ganadería y alimentación / Competitividad, calidad y defensa de la producción agrícola"
nav,2020,soberania,18135880.0,41.4142,"Agricultura, ganadería y alimentación / Desarrollo sostenible del medio rural"
nav,2020,soberania,526738.0,41.4123,"Agricultura, ganadería y alimentación / Regulación de los mercados agrarios"
nav,2020,soberania,7665868.0,41.4122,"Agricultura, ganadería y alimentación / Competitividad, calidad y defensa de la producción ganadera"
nav,2020,soberania,4526369.0,41.4143,"Agricultura, ganadería y alimentación / Reordenación de la propiedad y concentración parcelaria"
nav,2020,soberania,21140529.0,41.4141,"Agricultura, ganadería y alimentación / Gestión de los recursos hídricos para el regadío"
nav,2020,soberania,13959172.0,41.4131,"Agricultura, ganadería y alimentación / Competitividad de la industria agroalimentaria y calidad alimentaria"
nav,2020,soberania,1904696.0,41.4144,"Agricultura, ganadería y alimentación / Fomento y mejora de las infraestructuras agrarias"
nav,2020,direccion,592521.0,93.9323,Administración financiera y tributaria / Resolución de reclamaciones económico-administrativas
nav,2020,direccion,266892.0,93.9312,Administración financiera y tributaria / Política presupuestaria
nav,2020,direccion,284744.0,93.9315,Administración financiera y tributaria / Política financiera y de créditos
nav,2020,direccion,253787.0,93.9314,Administración financiera y tributaria / Control interno y contabilidad pública
nav,2020,direccion,1488323.0,93.9311,Administración financiera y tributaria / Previsión y política económica
nav,2020,direccion,13861449.0,93.9321,Administración financiera y tributaria / Aplicación del sistema tributario
nav,2020,direccion,1902761.0,93.9324,Administración financiera y tributaria / Inspección fiscal
nav,2020,direccion,2214661.0,93.9322,Administración financiera y tributaria / Gestión del catastro inmobiliario
nav,2020,direccion,2882638.0,93.9313,Administración financiera y tributaria / Política tributaria
nav,2020,direccion,65971430.0,95.9511,Deuda pública / Amortización y gastos financieros de la deuda pública en moneda nacional
