ccaa_id3,anio,concepto,importe_eur,codigo,denominacion
pvc,2015,,989517396.0,0111,Zor Publikoa
pvc,2015,direccion,28048073.0,1111,Legebiltzarra
pvc,2015,direccion,7253857.0,1112,Herri Kontuen Euskal Epaitegia
pvc,2015,direccion,1335721.0,1113,Datuak Babesteko Euskal Bulegoa
pvc,2015,direccion,10401655.0,1121,Lehendakaritza. Egitura eta Laguntza
pvc,2015,direccion,1333510.0,1124,Euskadiko Ekonomia eta Gizarte Arazoet. Batzordea
pvc,2015,direccion,1064489.0,1125,Euskadiko Aholku Batzorde Juridikoa
pvc,2015,direccion,6944673.0,1211,Herri Adm. eta Justizia. Egitura eta Laguntza
pvc,2015,direccion,21277959.0,1212,Zerbitzu Orokorrak
pvc,2015,direccion,15952173.0,1213,"F. Publikoa, Langileen Hautaketa eta Prestakuntza"
pvc,2015,direccion,26176634.0,1214,Informatika eta Telekomunikazioak
pvc,2015,direccion,14203624.0,1215,Berrikuntza eta Administrazio Elektronikoa
pvc,2015,direccion,7966000.0,1216,Adm. Publikoko Langileen Hautaketa eta Prestak.
pvc,2015,direccion,2357504.0,1217,Erakundeen Harremanak
pvc,2015,direccion,3767320.0,1218,Araubide Juridikoa
pvc,2015,direccion,103736741.0,1221,Hainbat Sail
pvc,2015,direccion,8479966.0,1222,Kreditu Orokorra
pvc,2015,direccion,7581571.0,1311,Kanpo Harremanak
pvc,2015,direccion,40026830.0,1312,Garapen Lankidetza
pvc,2015,,134415541.0,1411,Justizi Administrazioa
pvc,2015,,33280676.0,1412,Justizia
pvc,2015,,5809261.0,2211,Segurtasuna. Egitura eta Laguntza
pvc,2015,,11705095.0,2221,Trafikoa
pvc,2015,,584532643.0,2223,Ertzaintza Zerbitzuan
pvc,2015,,13684000.0,2224,Polizia eta Larrialdietako Euskal Akademia
pvc,2015,,4442507.0,2231,Larrialdiei aurre egitea
pvc,2015,,42125934.0,3111,Enplegua eta Gizarte Polit. Egitura eta Laguntza
pvc,2015,,28242115.0,3112,Lana
pvc,2015,,13801000.0,3113,Laneko Segurtasuna eta Osasunbidea
pvc,2015,,977311888.0,3121,Gizarteratzea
pvc,2015,diversidad,4216387.0,3122,Inmigrazioa
pvc,2015,,18609599.0,3123,Gizarte Zerbitzuak
pvc,2015,,63105953.0,3124,Familia eta Komunitate Politika
pvc,2015,,2366545.0,3131,Gizarte Solaskidetzaren Garapena
pvc,2015,empleo,423360244.0,3211,Enplegua
pvc,2015,empleo,3814776.0,3212,Gizarte Ekonomia
pvc,2015,empleo,892518.0,3213,Euskadiko Kooperatiben Goren Kontseilua
pvc,2015,igualdad,5003000.0,3221,Emakumeen Aukera Berdintasuna Sustatzea
pvc,2015,,3432660.0,3222,Gazteria
pvc,2015,igualdad,5782000.0,3223,Emakunde-Emakumearen Euskal Erakundea
pvc,2015,empleo,226803174.0,3231,Prestakuntza
pvc,2015,sanidad,17462175.0,4111,Osasuna. Egitura eta Laguntza
pvc,2015,sanidad,2826856254.0,4112,Osasun Finantzaketa eta Kontratazioa
pvc,2015,sanidad,42766691.0,4113,Osasun Publikoa
pvc,2015,sanidad,7565791.0,4114,Osasun Ikerketa eta Plangintza
pvc,2015,sanidad,490257263.0,4115,Farmazia
pvc,2015,salud_mental,5097224.0,4116,Adikzioak
pvc,2015,educacion,51047784.0,4211,Hezkuntza. Egitura eta Laguntza
pvc,2015,educacion,965257160.0,4221,Haur eta Lehen Hezkuntza
pvc,2015,educacion,907465824.0,4222,Bigarren Hezkuntza eta Lanbide Heziketa
pvc,2015,educacion,313070704.0,4223,Unibertsitateko Irakaskuntza
pvc,2015,educacion,56452627.0,4224,Araubide Bereziko Irakaskuntzak
pvc,2015,educacion,44643531.0,4225,Hezkuntza Berritzea eta Irakasleak Etengabe Prest
pvc,2015,educacion,35747045.0,4226,Etengabeko Ikaskuntza eta Helduen Hezkuntza
pvc,2015,educacion,171091074.0,4231,Hezkuntza Sustapena
pvc,2015,vivienda,106897930.0,4312,Etxebizitza
pvc,2015,vivienda,3824820.0,4313,Lurralde Antolamendua
pvc,2015,,7542514.0,4420,Ingurumena eta Lurralde Pol. Egitura eta Laguntza
pvc,2015,,26593808.0,4421,Ingurumenaren Babesa
pvc,2015,,5779602.0,4431,Kontsumoa
pvc,2015,,6647000.0,4432,Kontsumobide-Kontsumoko Euskal Institutua
pvc,2015,,3051014.0,4511,Hizk. Pol./Kultura. Egitura eta Laguntza
pvc,2015,,7850426.0,4512,Kirolak
pvc,2015,,34341945.0,4513,Kulturaren Sustapena
pvc,2015,,19299877.0,4514,Ondare Historiko Artistikoa
pvc,2015,,115578106.0,4515,Gizarte Hedabideak
pvc,2015,,5250288.0,4611,Hauteskundeak
pvc,2015,,6491944.0,4621,Biktimak eta Giza Eskubideak
pvc,2015,,48401208.0,4711,Hizkuntza Politika
pvc,2015,,13131000.0,4712,Administrazio Publikoaren Hizkuntza Normalkuntza
pvc,2015,,38850000.0,4713,Helduen Alfabetatze eta Berreuskalduntzerako Erak
pvc,2015,,13571000.0,4714,Euskalduntzea eta Hizkuntza Normalkuntza
pvc,2015,,41728017.0,4715,Hezkuntza Sistemaren Euskalduntzea
pvc,2015,,35900000.0,5121,Uraren Plangintza eta Administrazioa
pvc,2015,,223451577.0,5131,Trenbideko garraioaren azpiegitura eta kudeaketa
pvc,2015,,350530100.0,5135,EAE-KO Trenbide Sare Berria-Kudeaketa Kreditoak
pvc,2015,,6704186.0,5141,Garraioaren plangintza
pvc,2015,,15637995.0,5151,Portuak
pvc,2015,,19754337.0,5211,Euskadi Informazioaren Gizartean Plana
pvc,2015,idi,17113784.0,5411,Nekazaritza eta Arrantza Alorreko Iker. eta Garap
pvc,2015,idi,34775998.0,5412,Ikerketa
pvc,2015,idi,117651319.0,5413,Teknologia
pvc,2015,idi,37000000.0,5414,Berrikuntzarako Funtsa
pvc,2015,,11088000.0,5511,Estatistika
pvc,2015,,3138086.0,5512,Meteorologia eta Klimatologia
pvc,2015,,12188000.0,5513,Estatistikako Eragiketa eta Argitalpen Ofizialak
pvc,2015,,6810867.0,6110,Ogasuna eta Finantzak. Egitura eta Laguntza
pvc,2015,,9285001.0,6111,Ekonomia eta Gastu Publikoa
pvc,2015,,2813689.0,6112,Zerga-politika
pvc,2015,,1851120.0,6113,Joko eta Ikuskizunak
pvc,2015,,6711136.0,6114,Ondare eta Kontratazioa
pvc,2015,,2306000.0,6115,Lehiaren Euskal Agintaritza
pvc,2015,,10381714.0,6311,Finantza-Politika
pvc,2015,soberania,78186001.0,7111,"Nekazaritza, eta Landaren eta Itsasertzaren gar."
pvc,2015,soberania,12108097.0,7112,Arrantza
pvc,2015,soberania,20003889.0,7113,Elikagaien Sustapena eta Kalitatea
pvc,2015,,17924725.0,7211,Ekon. Garapena eta Lehiakor. Egitura eta Laguntza
pvc,2015,,75152966.0,7212,Industria Garapena eta Ekintzaileen Laguntza
pvc,2015,,999083.0,7213,Industria Segurtasuna
pvc,2015,,10191996.0,7214,Berrikuntza eta Lehiakortasun Estrategia
pvc,2015,,927089.0,7311,Energia eta Meatze Politika eta Garapena
pvc,2015,turismo,13597537.0,7511,Turismoa
pvc,2015,,27335019.0,7612,Barne Merkataritza
pvc,2015,,23049158.0,7613,Nazioartekotzea
pvc,2015,,82901673.0,9119,"Bestelako Finantza-harr.,Euskal Alor Publikoareki"
