ccaa,anio,ok,filas,motor,error
ast,2015,True,90,ast-distribucion-gasto+ast-transform,
ast,2016,True,91,ast-distribucion-gasto+ast-transform,
ast,2017,True,91,ast-distribucion-gasto+ast-transform,
ast,2018,True,90,ast-distribucion-gasto+ast-transform,
ast,2019,True,90,ast-distribucion-gasto+ast-transform,
ast,2020,True,95,ast-distribucion-gasto+ast-transform,
ast,2021,True,96,ast-distribucion-gasto+ast-transform,
ast,2022,True,96,ast-distribucion-gasto+ast-transform,
ast,2023,True,96,ast-distribucion-gasto+ast-transform,
ast,2024,True,104,ast-distribucion-gasto+ast-transform,
ast,2025,True,105,ast-distribucion-gasto+ast-transform,
ast,2026,True,104,ast-distribucion-gasto+ast-transform,
val,2015,True,122,val-rpc-secciones+val-transform,
val,2016,True,129,val-rpc-secciones+val-transform,
val,2017,True,128,val-rpc-secciones+val-transform,
val,2018,True,128,val-rpc-secciones+val-transform,
val,2019,True,131,val-rpc-secciones+val-transform,
val,2020,True,153,val-rpc-secciones+val-transform,
val,2021,True,154,val-rpc-secciones+val-transform,
val,2022,True,169,val-rpc-secciones+val-transform,
val,2023,True,174,val-rpc-secciones+val-transform,
val,2024,True,173,val-rpc-secciones+val-transform,
val,2025,True,174,val-rpc-secciones+val-transform,
val,2026,True,176,val-rpc-secciones+val-transform,
