ccaa,ccaa_nombre,anio,estado,filas,pct_concepto,n_conceptos,magnitud_disp,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,total_extraido,gasto_social
and,Andalucía,2015,VERDE_PRAGM,114,72.8,13,si,16130661950.0,6589415640.0,2320441753.0,6922064855.0,253748413.0,1365029755.0,555989433.0,1094401749.0,132779065.0,32430242.0,616275231.0,100523803.0,44633623.0,37966783094.0,36158395512.0
and,Andalucía,2016,VERDE_PRAGM,115,70.4,13,si,16765728531.0,6809957780.0,2304635011.0,7404337898.0,263048857.0,555967600.0,652781859.0,1136809504.0,140170311.0,34632142.0,659020688.0,101687931.0,45432232.0,40371141154.0,36874210344.0
and,Andalucía,2017,VERDE_PRAGM,102,75.5,13,si,9129970917.0,7019185001.0,689198945.0,5259118498.0,335604120.0,550008487.0,683769226.0,1164914040.0,143159588.0,36175436.0,476767206.0,116196102.0,116317661.0,28185738825.0,25720385227.0
and,Andalucía,2018,VERDE_PRAGM,102,75.5,13,si,9627553896.0,7329745592.0,724288201.0,5692789642.0,335848665.0,549950970.0,734495734.0,1196024692.0,153480255.0,38267726.0,535692154.0,118724974.0,118244988.0,29686587378.0,27155107489.0
and,Andalucía,2019,VERDE_PRAGM,103,75.7,13,si,9613264022.0,7296321233.0,827419323.0,5831865932.0,338451933.0,530179843.0,814451876.0,1195006504.0,155425426.0,38229327.0,549279355.0,120308062.0,117675286.0,29774594550.0,27427878122.0
and,Andalucía,2020,VERDE_PRAGM,111,70.3,13,si,20815786058.0,7887891327.0,2577053563.0,10383355658.0,318299022.0,1788045368.0,726574810.0,1509239704.0,192851292.0,41714809.0,586919789.0,86689827.0,179453574.0,49579668845.0,47093874801.0
and,Andalucía,2021,VERDE_PRAGM,112,69.6,13,si,22908341987.0,8918420453.0,2856252096.0,10362692600.0,468788272.0,1998789391.0,560671484.0,3014923643.0,194332129.0,40591561.0,617853443.0,101135162.0,184499225.0,55825949055.0,52227291446.0
and,Andalucía,2022,VERDE_PRAGM,56,66.1,11,si,12214500940.0,8744579745.0,1254456779.0,6548679951.0,246777546.0,929484859.0,278322080.0,1762584911.0,203115125.0,32325730.0,418245876.0,118299282.0,161160733.0,34993562872.0,32912533557.0
and,Andalucía,2023,VERDE_PRAGM,89,77.5,13,si,13644937026.0,8808586626.0,890403807.0,7261813138.0,418602732.0,696433298.0,359531438.0,2041969111.0,222481616.0,33167180.0,419410497.0,198628819.0,2327667.0,37754446508.0,34998292955.0
and,Andalucía,2024,VERDE_PRAGM,89,78.7,13,si,14055560408.0,9319094156.0,1027298672.0,6417772418.0,448235300.0,781223880.0,362235848.0,2229589384.0,252376683.0,33795836.0,462613276.0,177174289.0,2309609.0,38365493606.0,35569279759.0
and,Andalucía,2025,VERDE_PRAGM,89,78.7,13,si,15041542563.0,9693334966.0,1059877200.0,6468741330.0,488873782.0,781206513.0,443415578.0,2616898816.0,265377200.0,33157283.0,379680171.0,146517976.0,2721054.0,40424611233.0,37421344432.0
and,Andalucía,2026,VERDE_PRAGM,89,78.7,13,si,15950811279.0,9998482040.0,912065768.0,6716313527.0,719346413.0,782050538.0,471728406.0,2913064494.0,268836077.0,36381544.0,400858172.0,160831101.0,1971376.0,42641881610.0,39332740735.0
ara,Aragón,2015,VERDE_PRAGM,162,66.0,9,si,1535750491.04,879551896.15,648055750.07,180879870.64,74547890.45,152485607.67,57787366.51,0.0,0.0,0.0,0.0,12905535.98,6360382.0,5586938160.84,3548324790.51
ara,Aragón,2016,VERDE_PRAGM,161,66.5,10,si,1754952441.55,958476678.66,631230481.22,147185493.36,18502778.26,153849194.4,51572792.27,0.0,0.0,0.0,1058000.0,23325995.03,6718733.3,5496029796.2,3746872588.05
