ccaa,ccaa_nombre,anio,filas,n_conceptos,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,gasto_social_estricto,gasto_clasificado,total_extraido,total_hacienda,social_estricto_pct,cobertura_clasif_pct
and,Andalucia,2015,100,13,8388296442.0,6587403880.0,2320441753.0,6844554769.0,253748413.0,1016655555.0,554563795.0,1094401749.0,132779065.0,32430242.0,594748264.0,100523803.0,4045206.0,21080038167.0,27924592936.0,29476048221.0,29626197030.0,71.2,94.3
and,Andalucia,2016,101,13,8657784983.0,6808224868.0,2304635011.0,7322807362.0,263048857.0,555967600.0,651517336.0,1136809504.0,140170311.0,34632142.0,637814028.0,101687931.0,4190854.0,21296483425.0,28619290787.0,31130276355.0,31290485550.0,68.1,91.5
and,Andalucia,2017,102,13,9129970917.0,7019185001.0,689198945.0,5259118498.0,335604120.0,550008487.0,683769226.0,1164914040.0,143159588.0,36175436.0,476767206.0,116196102.0,116317661.0,20461266729.0,25720385227.0,28185738825.0,33244588900.0,61.5,77.4
and,Andalucia,2018,102,13,9627553896.0,7329745592.0,724288201.0,5692789642.0,335848665.0,549950970.0,734495734.0,1196024692.0,153480255.0,38267726.0,535692154.0,118724974.0,118244988.0,21462317847.0,27155107489.0,29686587378.0,34769245000.0,61.7,78.1
and,Andalucia,2019,103,13,9613264022.0,7296321233.0,827419323.0,5831865932.0,338451933.0,530179843.0,814451876.0,1195006504.0,155425426.0,38229327.0,549279355.0,120308062.0,117675286.0,21596012190.0,27427878122.0,29774594550.0,36500755620.0,59.2,75.1
and,Andalucia,2020,97,13,10765885257.0,7887891327.0,2577053563.0,10281592450.0,318299022.0,1145803823.0,705858590.0,1509239704.0,192851292.0,7873415.0,560066913.0,86689827.0,135373478.0,25892886211.0,36174478661.0,38277949185.0,38545964430.0,67.2,93.8
and,Andalucia,2021,94,13,11453591430.0,8500803036.0,2824012606.0,10087754255.0,309672280.0,1245388445.0,433671834.0,1610002176.0,194332129.0,31641238.0,520674612.0,101135162.0,140301532.0,27365226480.0,37452980735.0,39750624019.0,40188042630.0,68.1,93.2
and,Andalucia,2022,97,13,12214500940.0,8744579745.0,1254456779.0,6548679951.0,246777546.0,929484859.0,278322080.0,1762584911.0,203115125.0,32325730.0,418245876.0,118299282.0,161160733.0,26363853606.0,32912533557.0,34993562872.0,40401786880.0,65.3,81.5
and,Andalucia,2023,89,13,13644937026.0,8808586626.0,890403807.0,7261813138.0,418602732.0,696433298.0,359531438.0,2041969111.0,222481616.0,33167180.0,419410497.0,198628819.0,2327667.0,27736479817.0,34998292955.0,37754446508.0,45603830860.0,60.8,76.7
and,Andalucia,2024,89,13,14055560408.0,9319094156.0,1027298672.0,6417772418.0,448235300.0,781223880.0,362235848.0,2229589384.0,252376683.0,33795836.0,462613276.0,177174289.0,2309609.0,29151507341.0,35569279759.0,38365493606.0,46753227860.0,62.4,76.1
and,Andalucia,2025,89,13,15041542563.0,9693334966.0,1059877200.0,6468741330.0,488873782.0,781206513.0,443415578.0,2616898816.0,265377200.0,33157283.0,379680171.0,146517976.0,2721054.0,30952603102.0,37421344432.0,40424611233.0,48871600760.0,63.3,76.6
and,Andalucia,2026,89,13,15950811279.0,9998482040.0,912065768.0,6716313527.0,719346413.0,782050538.0,471728406.0,2913064494.0,268836077.0,36381544.0,400858172.0,160831101.0,1971376.0,32616427208.0,39332740735.0,42641881610.0,0.0,,
ara,Aragon,2015,159,9,1604436847.39,879551896.15,647905750.07,180879870.64,74547890.45,94153669.39,57787366.51,0.0,0.0,0.0,0.0,12905535.98,3180941.0,3374469896.94,3555349767.58,5301032703.57,5254454310.0,64.2,67.7
ara,Aragon,2016,158,10,1806281338.66,958476678.66,630995481.22,147185493.36,18502778.26,94381995.21,51572792.27,0.0,0.0,0.0,1058000.0,23325995.03,3359366.65,3587954425.96,3735139919.32,5153247082.28,5129958000.0,69.9,72.8
ara,Aragon,2017,163,10,1903124002.6,1040672901.92,635474223.88,165401408.71,35198225.63,106674129.99,78976928.7,0.0,0.0,0.0,1337482.01,15327007.66,3863624.08,3820648526.47,3986049935.18,5601398784.25,5577164930.0,68.5,71.5
ara,Aragon,2018,156,10,2006052857.97,1090322967.47,642673404.76,177554581.51,39953112.3,117165149.06,83677198.63,0.0,0.0,0.0,1618733.44,13489707.07,4194067.17,3999147197.87,4176701779.38,6193322158.67,6162313660.0,64.9,67.8
ara,Aragon,2019,156,10,2006052857.97,1090322967.47,642673404.76,177554581.51,39953112.3,117165149.06,83677198.63,0.0,0.0,0.0,1618733.44,13489707.07,4194067.17,3999147197.87,4176701779.38,6193322158.67,6162313660.0,64.9,67.8
ara,Aragon,2020,162,10,2078641796.21,1182200938.26,651857327.27,180272823.25,42982028.47,120644675.71,71350539.72,0.0,0.0,0.0,1511098.44,10810854.19,6276132.64,4166275390.91,4346548214.16,6508648406.0,6466530740.0,64.4,67.2
ara,Aragon,2021,183,10,2366554012.07,1294794240.56,673945493.13,232770691.13,48846602.79,128587723.21,87919449.35,0.0,0.0,0.0,1564164.85,14163993.16,6176132.64,4622551811.76,4855322502.89,7500923039.39,7454031860.0,62.0,65.1
ara,Aragon,2022,178,10,2250319676.63,1311647998.15,689552472.38,215932166.48,51683921.83,126175339.25,78952584.61,0.0,0.0,0.0,1558190.69,30748157.19,9184305.35,4549822646.08,4765754812.56,7496142610.47,7443845670.0,61.1,64.0
ara,Aragon,2023,178,10,2557966487.72,1373141920.04,715069103.18,227463740.08,101296832.15,160280811.92,79775764.2,0.0,0.0,0.0,1588071.16,52714982.67,8254418.05,5050088391.09,5277552131.17,8307154900.61,8249589670.0,61.2,64.0
ara,Aragon,2024,194,11,2771994758.83,1519817440.43,735047604.45,230437093.64,53876320.97,168897467.37,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,16225351.4,5449912814.92,5680349908.56,8610349542.71,8546300920.0,63.8,66.5
ara,Aragon,2025,194,11,2771994758.83,1519817440.43,735047604.45,230437093.64,53876320.97,168897467.37,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,16225351.4,5449912814.92,5680349908.56,8610349542.71,8546300920.0,63.8,66.5
ara,Aragon,2026,194,11,2771994758.83,1519817440.43,735047604.45,230437093.64,53876320.97,168897467.37,77187951.69,0.0,0.0,16110911.37,1758175.87,88996832.54,16225351.4,5449912814.92,5680349908.56,8610349542.71,0.0,,
ast,Asturias,2015,90,9,1483333763.0,722331717.0,144724327.0,251696709.0,29149040.0,104743563.0,17946722.0,0.0,0.0,0.0,0.0,8464428.0,2204598.0,2512898158.0,2764594867.0,3360469428.0,3958604070.0,63.5,69.8
ast,Asturias,2016,91,9,1639849636.0,740875925.0,147056925.0,251291306.0,30152620.0,96170390.0,17829782.0,0.0,0.0,0.0,0.0,8225653.0,2253168.0,2682414099.0,2933705405.0,3536588014.0,3953677620.0,67.8,74.2
