"variable";"algoritmo";"n_expected";"n_valid";"mae";"scale";"nmae";"cobertura";"candidato_variable"
"antidep_ajustado";"ARIMA";162;162;2,37413229027723;105,054719715671;0,0225990064673227;1;TRUE
"antidep_ajustado";"ETS";162;162;3,49285685885453;105,054719715671;0,0332479765621943;1;TRUE
"antidep_ajustado";"Prophet";162;162;2,42902955949139;105,054719715671;0,0231215652763199;1;TRUE
"antidep_ajustado";"RF";126;126;2,87773703286692;107,110585526313;0,0268669713523317;1;TRUE
"antidep_ajustado";"XGBoost";126;126;2,36733026013909;107,110585526313;0,022101739510681;1;TRUE
"censo";"ARIMA";162;162;16245,5071599938;3568191,54320987;0,00455286857873658;1;TRUE
"censo";"ETS";162;162;28930,7980289901;3568191,54320987;0,00810797225391227;1;TRUE
"censo";"Prophet";162;162;20097,541767721;3568191,54320987;0,00563241673669839;1;TRUE
"censo";"RF";162;162;56980,2635827161;3568191,54320988;0,0159689475446314;1;TRUE
"censo";"XGBoost";162;162;52121,5830439815;3568191,54320988;0,0146072828245913;1;TRUE
"hipno_ajustado";"ARIMA";162;162;0,824412286441147;38,5812964180741;0,0213681851824693;1;TRUE
"hipno_ajustado";"ETS";162;162;0,930588324793002;38,5812964180741;0,0241201932332437;1;TRUE
"hipno_ajustado";"Prophet";162;162;1,03250111908545;38,5812964180741;0,0267617010039549;1;TRUE
"hipno_ajustado";"RF";126;126;1,09176488905776;38,6341175390344;0,0282590870091618;1;TRUE
"hipno_ajustado";"XGBoost";126;126;0,805424863064756;38,6341175390344;0,0208475025280696;1;TRUE
"t_mental";"ARIMA";162;162;0,449925366541377;16,6786428445898;0,0269761377309739;1;TRUE
"t_mental";"ETS";162;162;0,61799827022954;16,6786428445898;0,037053270819934;1;TRUE
"t_mental";"Prophet";162;162;0,540192098004766;16,6786428445898;0,0323882526317177;1;TRUE
"t_mental";"RF";162;162;0,783003749431578;16,6786428445898;0,0469464905944411;1;TRUE
"t_mental";"XGBoost";162;162;0,676067054140893;16,6786428445898;0,0405348960608144;1;TRUE
