"ccaa","periodo","genero","pct_pib_sanidad","imp_sanidad_eur","pib_regional_eur","origen_pib"
"Andalucía",2015,"total",5.7295,8388296442,146406094000,"real"
"Andalucía",2016,"total",5.7756,8657784983,149901897000,"real"
"Andalucía",2017,"total",5.8231,9129970917,156789484000,"real"
"Andalucía",2018,"total",5.9468,9627553896,161894301000,"real"
"Andalucía",2019,"total",5.7745,9613264022,166478730000,"real"
"Andalucía",2020,"total",7.1557,10765885257,150452909000,"real"
"Andalucía",2021,"total",6.8875,11453591430,166296356000,"real"
"Andalucía",2022,"total",6.6252,12214500940,184364390000,"real"
"Andalucía",2023,"total",6.8428,13644937026,199406067000,"real"
"Andalucía",2024,"total",6.6188,14055560408,212359142000,"real"
"Andalucía",2025,"total",6.7719,15041542563,222116470593.182,"proyeccion"
"Andalucía",2026,"total",6.7827,15950811279,235169103530.317,"proyeccion"
"Aragón",2015,"total",4.6166,1535750491.04,33265930000,"real"
"Aragón",2016,"total",5.0806,1754952441.55,34542128000,"real"
"Aragón",2017,"total",5.1297,1845830789.42,35983544000,"real"
"Aragón",2018,"total",5.2219,1943284163.95,37213896000,"real"
"Aragón",2019,"total",5.0521,1943284163.95,38465053000,"real"
"Aragón",2020,"total",5.5941,2011375281.29,35955571000,"real"
"Aragón",2021,"total",5.9194,2295688201.41,38782157000,"real"
"Aragón",2022,"total",5.0057,2185911149.5,43668835000,"real"
"Aragón",2023,"total",5.3048,2481490321.17,46778120000,"real"
"Aragón",2024,"total",5.4488,2704508197.54,49634925000,"real"
"Aragón",2025,"total",5.2305,2704508197.54,51706151620.8324,"proyeccion"
"Aragón",2026,"total",4.9295,2704508197.54,54863918381.8983,"proyeccion"
"Principado de Asturias",2015,"total",6.9353,1483333763,21388142000,"real"
"Principado de Asturias",2016,"total",7.5655,1639849636,21675441000,"real"
"Principado de Asturias",2017,"total",7.405,1668954671,22538267000,"real"
"Principado de Asturias",2018,"total",7.3299,1699483931,23185680000,"real"
"Principado de Asturias",2019,"total",7.4008,1751509971,23666618000,"real"
"Principado de Asturias",2020,"total",8.426,1801183712,21376392000,"real"
"Principado de Asturias",2021,"total",8.2228,1942029769,23617641000,"real"
