"grupo","componente","indicador_codigo","indicador_nombre","filas","con_valor","na_pct","generos","n_ccaa","solo_nacional","anio_min","anio_max","continua_2015","canarias_ok","canarias_cont2015","val_min","val_med","val_max","ccaa_faltantes"
"accesibilidad","espera_ae","8290","Tiempo medio de espera para una primera consulta Atención Especializada",271,271,0,"total",20,FALSE,2006,2025,TRUE,TRUE,TRUE,9.53,66.01,175.83,"-"
"accesibilidad","espera_quir","8200","Tiempo medio de espera (días) para una intervención quirúgica no urgente",285,285,0,"total",20,FALSE,2003,2025,TRUE,TRUE,TRUE,28,93.93,285.92,"-"
"estado_salud","avs_65","1050","Años de vida saludable a los 65 años",1080,1080,0,"hombres/mujeres/total",20,FALSE,2006,2023,TRUE,TRUE,TRUE,12.57,18.04,22.93,"-"
"gasto","gasto_farmacia_pct","6060","Porcentaje del gasto en farmacia",396,396,0,"total",18,FALSE,2002,2023,TRUE,TRUE,TRUE,11.22,17.94,28.43,"Ceuta, Melilla"
"mort_evitable","mort_cancer","1240","Tasa de mortalidad prematura por cáncer, ajustada por edad, por 100 000 hab",2100,2100,0,"hombres/mujeres/total",20,FALSE,1990,2024,TRUE,TRUE,TRUE,0,108.05,260.59,"-"
"mort_evitable","mort_cardio","1250","Tasa de mortalidad prematura por cardiopatía isquémica, ajustada por edad, por 100 000 hab.",2100,2100,0,"hombres/mujeres/total",20,FALSE,1990,2024,TRUE,TRUE,TRUE,0,31.12,173.85,"-"
"mort_evitable","mort_diabetes","1260","Tasa de mortalidad prematura por diabetes mellitus, ajustada por edad, por 100 000 hab.",2100,2100,0,"hombres/mujeres/total",20,FALSE,1990,2024,TRUE,TRUE,TRUE,0,6.37,55.23,"-"
"mort_evitable","mort_epoc","1280","Tasa de mortalidad prematura por EPOC, ajustada por edad, por 100 000 hab.",2100,2100,0,"hombres/mujeres/total",20,FALSE,1990,2024,TRUE,TRUE,TRUE,0,9.03,88.29,"-"
"mort_evitable","mort_ictus","1270","Tasa de mortalidad prematura por enfermedad vascular cerebral, ajustada por edad, por 100 000 hab.",2100,2100,0,"hombres/mujeres/total",20,FALSE,1990,2024,TRUE,TRUE,TRUE,0,17.16,98.38,"-"
"poblacion","poblacion_total","9000","Población total",2180,2180,0,"hombres/mujeres/total",20,FALSE,1990,2025,TRUE,TRUE,TRUE,28174,1055660,49355143,"-"
"recursos","camas","4090","Camas hospitalarias en funcionamiento por 1000 hab.",580,580,0,"total",20,FALSE,1996,2024,TRUE,TRUE,TRUE,1.9,3.3,4.91,"-"
"recursos","enf_ae","4070","Personal de enfermería en atención especializada por 1000 hab.",580,580,0,"total",20,FALSE,1996,2024,TRUE,TRUE,TRUE,1.86,3.07,6.91,"-"
"recursos","enf_ap","4080","Personal de enfermería en atención primaria por 1000 personas asignadas",420,420,0,"total",20,FALSE,2004,2024,TRUE,TRUE,TRUE,0.45,0.66,1.12,"-"
"recursos","med_ae","4050","Personal médico en atención especializada por 1000 hab.",580,580,0,"total",20,FALSE,1996,2024,TRUE,TRUE,TRUE,1.1,1.74,2.88,"-"
"recursos","med_ap","4060","Personal médico atención primaria por 1000 personas asignadas",420,420,0,"total",20,FALSE,2004,2024,TRUE,TRUE,TRUE,0.58,0.76,1.12,"-"
"resultados","reingresos_psiq","7140","Porcentaje de reingresos urgentes psiquiátricos (Hospitales SNS)",1672,1672,0,"hombres/mujeres/total",20,FALSE,1997,2024,TRUE,TRUE,TRUE,1.72,10,29.33,"-"
