"columna","con_dato","na_pct","min","mediana","max","anio_min","anio_max"
"avs_65",1080,50,12.57,18.04,22.93,2006,2023
"mort_cancer",2100,2.8,0,108.05,260.59,1990,2024
"mort_cardio",2100,2.8,0,31.12,173.85,1990,2024
"mort_diabetes",2100,2.8,0,6.37,55.23,1990,2024
"mort_ictus",2100,2.8,0,17.16,98.38,1990,2024
"mort_epoc",2100,2.8,0,9.03,88.29,1990,2024
"mort_evitable_idx",2100,2.8,0.29,0.92,3.33,1990,2024
"mort_evitable_idx_0_100",2100,2.8,0,20.61,100,1990,2024
"med_ae",580,73.1,1.1,1.74,2.88,1996,2024
"med_ap",420,80.6,0.58,0.76,1.12,2004,2024
"enf_ae",580,73.1,1.86,3.07,6.91,1996,2024
"enf_ap",420,80.6,0.45,0.66,1.12,2004,2024
"camas",580,73.1,1.9,3.3,4.91,1996,2024
"gasto_farmacia_pct",396,81.7,11.22,17.94,28.43,2002,2023
"pct_pib_sanidad",187,91.3,2.96,5.94,8.94,2015,2025
"imp_sanidad_eur",187,91.3,397009501,2809202270,15041542563,2015,2025
"pib_regional_eur",187,91.3,8033065000,44123986000,330794990991.15,2015,2025
"espera_quir",285,86.8,28,93.93,285.92,2003,2025
"espera_ae",271,87.5,9.53,66.01,175.83,2006,2025
"reingresos_psiq",1672,22.6,1.72,10,29.33,1997,2024
"poblacion_total",2160,0,28174,1054666.5,49355143,1990,2025
