ccaa;ccaa_cod;periodo;genero;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;reingresos_psiq;poblacion_total
Andalucía;01;1990;hombres;real;NA;12,41;99,41;17,19;58,01;47,33;2,39;69,17;NA;3405402
Andalucía;01;1990;mujeres;real;NA;0,88;35,76;17,00;36,17;8,85;1,14;27,93;NA;3511928
Andalucía;01;1991;hombres;real;NA;12,11;103,74;14,75;60,85;46,87;2,37;68,56;NA;3426453
Andalucía;01;1991;mujeres;real;NA;1,27;36,54;16,09;38,08;6,58;1,10;26,67;NA;3533808
Andalucía;01;1992;hombres;real;NA;12,34;101,22;12,87;52,11;40,04;2,11;59,88;NA;3447924
Andalucía;01;1992;mujeres;real;NA;0,85;34,93;13,15;33,67;7,05;0,98;22,73;NA;3555136
Andalucía;01;1993;hombres;real;NA;10,99;101,67;12,93;53,84;44,34;2,20;62,89;NA;3468353
Andalucía;01;1993;mujeres;real;NA;1,06;33,60;12,24;31,04;7,59;0,93;21,19;NA;3575938
Andalucía;01;1994;hombres;real;NA;11,42;91,67;12,46;48,64;40,34;2,01;56,78;NA;3487474
Andalucía;01;1994;mujeres;real;NA;1,16;34,34;12,31;29,64;6,75;0,91;20,47;NA;3594844
Andalucía;01;1995;hombres;real;NA;11,97;98,53;12,84;50,54;41,67;2,10;59,75;NA;3502621
Andalucía;01;1995;mujeres;real;NA;0,96;32,48;10,85;28,89;5,90;0,84;18,17;NA;3610002
Andalucía;01;1996;hombres;real;NA;10,29;98,97;11,66;49,63;41,10;2,05;58,12;NA;3514843
Andalucía;01;1996;mujeres;real;NA;1,17;31,36;10,17;26,98;5,91;0,80;16,80;NA;3622644
Andalucía;01;1997;hombres;real;NA;11,35;91,29;11,36;45,90;35,24;1,87;52,02;11,22;3527014
Andalucía;01;1997;mujeres;real;NA;1,08;31,19;9,30;26,06;6,28;0,77;15,94;11,13;3635591
Andalucía;01;1998;hombres;real;NA;10,82;94,62;13,66;43,72;40,20;2,01;56,62;11,43;3539767
Andalucía;01;1998;mujeres;real;NA;1,18;30,81;10,24;24,40;5,11;0,76;15,47;11,12;3649693
Andalucía;01;1999;hombres;real;NA;240,41;90,98;11,87;49,04;40,33;2,43;70,61;12,24;3555111
Andalucía;01;1999;mujeres;real;NA;101,11;29,59;9,42;25,86;5,76;0,95;21,66;13,82;3667263
Andalucía;01;2000;hombres;real;NA;233,15;88,69;10,60;41,94;31,05;2,15;61,17;13,52;3580363
Andalucía;01;2000;mujeres;real;NA;101,27;27,65;9,54;23,71;3,71;0,88;19,57;17,31;3692321
Andalucía;01;2001;hombres;real;NA;236,33;83,04;11,73;41,88;29,27;2,12;60,26;15,55;3610650
Andalucía;01;2001;mujeres;real;NA;100,99;26,87;9,39;24,05;4,54;0,89;19,85;15,62;3721441
Andalucía;01;2002;hombres;real;NA;233,18;80,14;11,62;42,06;31,77;2,14;60,90;16,44;3647836
Andalucía;01;2002;mujeres;real;NA;100,05;25,12;8,54;23,70;4,08;0,85;18,39;15,47;3758653
Andalucía;01;2003;hombres;real;NA;225,12;82,30;10,35;40,47;30,24;2,06;58,35;15,29;3696578
Andalucía;01;2003;mujeres;real;NA;98,28;25,45;8,93;22,09;3,45;0,83;17,79;13,72;3806290
Andalucía;01;2004;hombres;real;NA;229,85;73,07;10,84;37,94;25,68;1,93;53,98;13,14;3753671
Andalucía;01;2004;mujeres;real;NA;97,44;23,67;6,88;20,27;3,53;0,75;15,15;10,82;3858178
Andalucía;01;2005;hombres;real;NA;214,75;74,10;10,97;39,01;30,16;2,00;56,21;12,38;3818870
Andalucía;01;2005;mujeres;real;NA;92,93;22,76;7,13;21,70;4,19;0,77;15,74;12,12;3913216
Andalucía;01;2006;hombres;real;15,45;207,85;66,21;10,07;32,73;20,74;1,69;46,25;12,50;3881767
Andalucía;01;2006;mujeres;real;18,52;95,20;18,74;6,59;18,36;2,97;0,68;12,93;12,60;3966747
Andalucía;01;2007;hombres;real;15,31;206,47;63,86;9,68;34,70;24,82;1,76;48,34;14,39;3958167
Andalucía;01;2007;mujeres;real;18,36;94,96;19,61;6,55;17,85;3,45;0,69;13,14;13,23;4030846
Andalucía;01;2008;hombres;real;15,07;199,56;60,92;8,98;32,69;20,49;1,62;43,70;13,58;4015933
Andalucía;01;2008;mujeres;real;16,61;93,30;17,60;5,38;15,76;3,35;0,62;10,96;13,03;4089675
Andalucía;01;2009;hombres;real;14,69;200,24;58,56;8,97;30,22;23,24;1,63;44,04;14,01;4048854
Andalucía;01;2009;mujeres;real;14,90;92,50;15,82;5,06;16,57;3,12;0,61;10,45;14,26;4128508
Andalucía;01;2010;hombres;real;14,93;193,23;53,90;8,77;26,62;20,28;1,50;39,75;13,00;4079398
Andalucía;01;2010;mujeres;real;15,10;90,25;16,83;4,83;13,02;3,20;0,57;9,20;13,65;4159401
Andalucía;01;2011;hombres;real;15,96;192,68;52,48;6,10;24,18;19,13;1,38;35,78;12,54;4091966
Andalucía;01;2011;mujeres;real;17,86;92,33;15,99;3,13;12,03;2,98;0,51;7,31;12,71;4178530
Andalucía;01;2012;hombres;real;15,23;195,78;49,02;6,61;24,93;19,91;1,40;36,45;12,24;4102725
Andalucía;01;2012;mujeres;real;15,87;92,79;14,79;3,25;11,71;3,27;0,51;7,28;12,25;4196385
Andalucía;01;2013;hombres;real;15,46;187,59;45,99;5,18;22,84;18,31;1,28;32,61;12,85;4151348
Andalucía;01;2013;mujeres;real;16,30;91,61;13,19;3,27;11,41;3,31;0,50;6,85;13,38;4235928
Andalucía;01;2014;hombres;real;15,60;179,54;45,03;6,47;21,85;16,39;1,25;31,61;12,68;4150524
Andalucía;01;2014;mujeres;real;16,68;86,91;11,95;3,10;11,70;3,03;0,48;6,13;12,02;4240330
Andalucía;01;2015;hombres;real;15,22;178,73;43,56;6,69;21,85;16,80;1,25;31,70;13,31;4152739
Andalucía;01;2015;mujeres;real;16,38;85,83;11,01;3,48;11,99;3,23;0,49;6,41;13,42;4245600
Andalucía;01;2016;hombres;real;15,68;173,15;43,17;6,20;19,87;17,98;1,23;30,89;13,09;4154783
Andalucía;01;2016;mujeres;real;16,74;88,81;11,51;2,89;10,93;3,08;0,47;5,76;13,12;4249238
Andalucía;01;2017;hombres;real;15,67;176,44;45,22;5,91;20,68;15,55;1,21;30,14;13,80;4152246
Andalucía;01;2017;mujeres;real;16,66;89,51;12,08;3,43;10,67;3,12;0,48;6,31;12,67;4251103
Andalucía;01;2018;hombres;real;15,55;172,05;43,25;6,04;20,60;15,47;1,19;29,54;12,79;4150910
Andalucía;01;2018;mujeres;real;16,64;89,63;11,00;2,82;11,03;3,42;0,47;5,89;13,68;4255313
Andalucía;01;2019;hombres;real;17,42;168,03;40,78;6,15;19,33;14,25;1,14;27,83;12,43;4169754
Andalucía;01;2019;mujeres;real;18,81;87,90;10,37;3,14;9,55;3,90;0,46;5,73;14,08;4278688
Andalucía;01;2020;hombres;real;16,84;165,03;42,35;6,78;20,01;12,31;1,13;27,58;13,88;4185178
Andalucía;01;2020;mujeres;real;18,24;87,42;10,32;3,03;9,76;3,50;0,46;5,44;16,81;4298591
Andalucía;01;2021;hombres;real;16,83;163,54;40,94;8,56;19,37;11,08;1,14;27,84;15,56;4194043
Andalucía;01;2021;mujeres;real;18,24;89,64;10,63;3,43;9,67;3,09;0,46;5,71;16,18;4308722
Andalucía;01;2022;hombres;real;16,94;161,81;39,25;7,52;19,96;11,72;1,11;27,09;13,98;4210988
Andalucía;01;2022;mujeres;real;18,36;88,39;10,62;3,08;9,29;3,55;0,46;5,47;14,37;4332110
Andalucía;01;2023;hombres;real;16,76;155,21;34,63;7,85;19,05;11,98;1,08;25,95;14,13;4226795
Andalucía;01;2023;mujeres;real;17,57;87,20;9,11;2,88;9,53;4,26;0,46;5,43;13,90;4373429
Andalucía;01;2024;hombres;proyeccion;16,81;145,97;35,12;6,89;17,84;11,52;1,02;24,01;12,13;4248210
Andalucía;01;2024;mujeres;proyeccion;17,80;85,58;8,96;2,40;8,47;3,49;0,42;4,12;11,54;4397125
Andalucía;01;2025;hombres;proyeccion;16,82;NA;NA;NA;NA;NA;1,00;23,53;12,66;4286449
