ccaa;ccaa_cod;periodo;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;med_ae;med_ap;enf_ae;enf_ap;camas;gasto_farmacia_pct;pct_pib_sanidad;imp_sanidad_eur;pib_regional_eur;espera_quir;espera_ae;reingresos_psiq;poblacion_total
Andalucía;01;1990;real;NA;6,33;64,99;17,21;46,17;25,94;1,71;46,64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6917330,00
Andalucía;01;1991;real;NA;6,37;67,60;15,56;48,44;24,66;1,68;45,76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6960261,00
Andalucía;01;1992;real;NA;6,30;65,83;13,11;42,18;21,90;1,50;39,80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7003060,00
Andalucía;01;1993;real;NA;5,77;65,29;12,61;41,58;24,29;1,52;40,40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7044291,00
Andalucía;01;1994;real;NA;6,04;61,17;12,46;38,39;22,07;1,42;37,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7082318,00
Andalucía;01;1995;real;NA;6,20;63,31;11,79;38,97;22,21;1,42;37,36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7112623,00
Andalucía;01;1996;real;NA;5,47;62,96;10,93;37,50;22,01;1,38;35,94;1,26;NA;2,46;NA;3,05;NA;NA;NA;NA;NA;NA;NA;7137487,00
Andalucía;01;1997;real;NA;5,95;59,28;10,29;35,27;19,52;1,28;32,65;1,26;NA;2,34;NA;3,02;NA;NA;NA;NA;NA;NA;11,18;7162605,00
Andalucía;01;1998;real;NA;5,76;60,73;11,83;33,41;21,22;1,34;34,55;1,27;NA;2,33;NA;3,01;NA;NA;NA;NA;NA;NA;11,31;7189460,00
Andalucía;01;1999;real;NA;165,92;58,30;10,58;36,65;21,62;1,64;44,35;1,30;NA;2,39;NA;2,98;NA;NA;NA;NA;NA;NA;12,83;7222374,00
Andalucía;01;2000;real;NA;162,65;56,29;10,06;32,20;16,23;1,47;38,88;1,30;NA;2,45;NA;2,96;NA;NA;NA;NA;NA;NA;15,06;7272684,00
Andalucía;01;2001;real;NA;163,97;53,26;10,52;32,38;15,88;1,46;38,65;1,30;NA;2,43;NA;2,89;NA;NA;NA;NA;NA;NA;15,57;7332091,00
Andalucía;01;2002;real;NA;162,24;51,04;10,00;32,29;16,85;1,45;38,21;1,30;NA;2,45;NA;2,80;25,00;NA;NA;NA;NA;NA;16,05;7406489,00
Andalucía;01;2003;real;NA;157,58;52,26;9,63;30,63;15,78;1,40;36,70;1,30;NA;2,46;NA;2,72;25,54;NA;NA;NA;NA;NA;14,67;7502868,00
Andalucía;01;2004;real;NA;159,44;47,00;8,75;28,53;13,77;1,30;33,31;1,34;0,76;2,51;0,56;2,67;24,17;NA;NA;NA;NA;NA;12,21;7611849,00
Andalucía;01;2005;real;NA;150,06;47,04;8,98;29,79;16,18;1,34;34,68;1,34;0,74;2,52;0,56;2,59;23,15;NA;NA;NA;NA;NA;12,28;7732086,00
Andalucía;01;2006;real;17,01;148,11;41,20;8,25;25,18;11,19;1,16;28,58;1,37;0,73;2,57;0,57;2,54;21,52;NA;NA;NA;NA;NA;12,54;7848514,00
Andalucía;01;2007;real;16,85;147,32;40,61;8,03;25,73;13,36;1,19;29,63;1,40;0,75;2,60;0,55;2,52;21,33;NA;NA;NA;NA;NA;13,90;7989013,00
Andalucía;01;2008;real;15,84;143,32;38,25;7,07;23,76;11,33;1,09;26,37;1,43;0,73;2,61;0,53;2,41;19,50;NA;NA;NA;NA;NA;13,35;8105608,00
Andalucía;01;2009;real;14,78;143,19;36,21;6,92;23,01;12,48;1,09;26,27;1,43;0,72;2,63;0,55;2,38;20,76;NA;NA;NA;NA;NA;14,11;8177362,00
Andalucía;01;2010;real;14,99;138,94;34,56;6,67;19,46;11,16;1,01;23,60;1,56;0,73;2,91;0,57;2,30;22,79;NA;NA;NA;NA;NA;13,28;8238799,00
Andalucía;01;2011;real;17,01;139,72;33,46;4,53;17,79;10,56;0,92;20,78;1,55;0,71;2,75;0,59;2,27;21,22;NA;NA;NA;NA;NA;12,61;8270496,00
Andalucía;01;2012;real;15,55;141,74;31,19;4,86;18,01;11,09;0,93;21,14;1,54;0,73;2,63;0,60;2,22;18,56;NA;NA;NA;62,00;49,00;12,24;8299110,00
Andalucía;01;2013;real;15,88;137,27;28,95;4,19;16,85;10,37;0,87;19,10;1,54;0,72;2,61;0,61;2,19;21,25;NA;NA;NA;57,00;49,00;13,08;8387276,00
Andalucía;01;2014;real;16,15;131,10;27,86;4,71;16,58;9,32;0,85;18,27;1,53;0,72;2,67;0,61;2,17;19,81;NA;NA;NA;59,00;49,00;12,39;8390854,00
Andalucía;01;2015;real;16,41;130,15;26,70;5,01;16,71;9,65;0,85;18,48;1,54;0,73;2,60;0,59;2,20;18,27;5,73;8388296442,00;146406094000,00;60,00;49,00;13,36;8398339,00
Andalucía;01;2016;real;16,21;129,07;26,76;4,48;15,23;10,14;0,83;17,78;1,59;0,73;2,69;0,57;2,17;18,40;5,78;8657784983,00;149901897000,00;75,71;54,38;13,11;8404021,00
Andalucía;01;2017;real;16,16;131,03;28,04;4,62;15,46;9,01;0,83;17,70;1,59;0,74;2,86;0,57;2,20;19,05;5,82;9129970917,00;156789484000,00;77,97;56,47;13,31;8403349,00
Andalucía;01;2018;real;16,09;128,98;26,56;4,37;15,64;9,14;0,81;17,21;1,62;0,75;2,89;0,57;2,19;18,77;5,95;9627553896,00;161894301000,00;213,76;175,83;13,17;8406223,00
Andalucía;01;2019;real;18,17;126,13;25,00;4,59;14,26;8,82;0,79;16,30;1,47;0,76;2,87;0,60;2,18;18,54;5,77;9613264022,00;166478730000,00;160,96;130,79;13,15;8448442,00
Andalucía;01;2020;real;17,59;124,49;25,74;4,82;14,69;7,69;0,78;16,04;1,51;0,75;3,04;0,60;2,19;17,36;7,16;10765885257,00;150452909000,00;187,77;111,89;15,18;8483769,00
Andalucía;01;2021;real;17,58;124,90;25,25;5,90;14,34;6,89;0,79;16,32;1,56;0,75;3,42;0,61;2,30;17,25;6,89;11453591430,00;166296356000,00;127,97;105,04;15,84;8502764,00
Andalucía;01;2022;real;17,70;123,28;24,41;5,20;14,40;7,43;0,77;15,79;1,61;0,75;3,33;0,70;2,40;17,89;6,63;12214500940,00;184364390000,00;134,20;123,28;14,16;8543098,00
Andalucía;01;2023;real;17,10;119,54;21,41;5,25;14,10;7,93;0,75;15,23;1,64;0,76;3,21;0,74;2,32;16,93;6,84;13644937026,00;199406067000,00;173,81;142,66;14,02;8600224,00
Andalucía;01;2024;proyeccion;17,30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,97;NA;NA;NA;NA;NA;NA;NA
Andalucía;01;2024;real;NA;114,33;21,56;4,55;12,96;7,30;0,70;13,63;1,63;0,76;3,18;0,73;2,17;NA;6,62;14055560408,00;212359142000,00;175,68;150,00;11,86;8645335,00
Andalucía;01;2025;proyeccion;17,30;NA;NA;NA;NA;NA;0,70;13,38;1,66;0,76;3,21;0,77;2,21;16,78;NA;NA;NA;NA;NA;12,34;NA
Andalucía;01;2025;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,77;15041542563,00;222116470593,18;173,00;136,00;NA;8708421,00
Andalucía;01;2026;proyeccion;17,30;NA;NA;NA;NA;NA;0,68;12,67;1,67;0,76;3,21;0,78;2,18;16,59;6,71;NA;NA;191,42;152,29;12,34;8758669,70
Aragón;02;1990;real;NA;4,30;45,29;8,25;30,26;14,54;1,01;23,85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1190986,00
Aragón;02;1991;real;NA;4,05;45,25;9,54;31,84;14,91;1,07;25,63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1190442,00
Aragón;02;1992;real;NA;3,99;41,70;9,78;27,09;15,85;1,02;24,17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1192325,00
Aragón;02;1993;real;NA;3,21;46,09;8,79;26,44;12,13;0,95;21,79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1193984,00
Aragón;02;1994;real;NA;5,18;44,47;11,42;26,58;14,11;1,05;24,99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1195292,00
Aragón;02;1995;real;NA;3,94;44,28;8,96;27,66;17,77;1,06;25,21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1196133,00
Aragón;02;1996;real;NA;4,37;43,46;7,73;24,94;14,60;0,94;21,40;1,65;NA;2,88;NA;4,51;NA;NA;NA;NA;NA;NA;NA;1196098,00
Aragón;02;1997;real;NA;4,45;42,11;8,00;26,42;13,20;0,93;21,07;1,66;NA;2,89;NA;4,39;NA;NA;NA;NA;NA;NA;6,39;1195847,00
Aragón;02;1998;real;NA;2,92;39,76;7,31;21,93;13,49;0,86;18,68;1,69;NA;2,95;NA;4,39;NA;NA;NA;NA;NA;NA;6,85;1195697,00
Aragón;02;1999;real;NA;154,32;40,24;7,78;23,51;16,80;1,23;31,01;1,73;NA;3,07;NA;4,29;NA;NA;NA;NA;NA;NA;7,41;1195810,00
Aragón;02;2000;real;NA;143,55;40,75;6,94;22,00;11,71;1,09;26,39;1,79;NA;3,16;NA;4,23;NA;NA;NA;NA;NA;NA;11,14;1197224,00
Aragón;02;2001;real;NA;149,72;36,31;6,84;21,66;9,54;1,04;24,55;1,81;NA;3,17;NA;4,19;NA;NA;NA;NA;NA;NA;9,22;1201038,00
Aragón;02;2002;real;NA;146,00;35,26;6,08;19,10;9,38;0,98;22,56;1,87;NA;3,22;NA;4,16;23,88;NA;NA;NA;NA;NA;10,08;1209888,00
Aragón;02;2003;real;NA;146,56;32,74;5,36;19,88;9,88;0,96;22,06;1,96;NA;3,29;NA;4,12;22,73;NA;NA;NA;NA;NA;10,22;1222496,00
Aragón;02;2004;real;NA;149,32;34,11;5,88;18,00;7,63;0,93;21,05;1,97;0,85;3,33;0,68;4,05;22,25;NA;NA;NA;NA;NA;12,63;1236182,00
Aragón;02;2005;real;NA;140,54;30,79;5,31;16,37;9,68;0,90;20,04;2,00;0,83;3,32;0,68;3,99;22,47;NA;NA;NA;NA;NA;12,04;1251176,00
Aragón;02;2006;real;18,37;140,19;32,19;4,50;19,50;8,62;0,90;20,01;2,07;0,83;3,61;0,67;3,96;21,43;NA;NA;NA;NA;NA;11,22;1265909,00
Aragón;02;2007;real;18,50;140,88;32,10;4,89;18,25;8,54;0,90;19,91;2,10;0,85;3,70;0,70;3,83;20,77;NA;NA;NA;NA;NA;11,22;1286285,00
Aragón;02;2008;real;18,75;129,50;27,21;6,33;17,66;6,90;0,85;18,40;2,18;0,84;3,85;0,69;3,84;20,40;NA;NA;NA;NA;NA;11,18;1306631,00
Aragón;02;2009;real;19,00;139,67;27,68;5,25;15,98;8,86;0,86;18,78;2,20;0,86;3,99;0,70;3,83;19,91;NA;NA;NA;NA;NA;9,84;1318936,00
Aragón;02;2010;real;19,34;146,97;24,79;4,45;14,38;7,78;0,80;16,90;2,14;0,88;3,86;0,71;3,81;20,20;NA;NA;NA;NA;NA;9,20;1313159,00
Aragón;02;2011;real;18,99;142,47;25,11;5,53;12,37;7,90;0,81;17,02;2,18;0,88;4,10;0,71;3,77;17,84;NA;NA;NA;NA;NA;8,91;1315527,00
Aragón;02;2012;real;19,10;140,61;22,75;4,61;11,48;6,91;0,74;14,85;2,18;0,90;4,03;0,72;3,68;15,97;NA;NA;NA;114,00;41,00;9,70;1311924,00
Aragón;02;2013;real;19,26;136,24;21,96;4,46;11,36;6,24;0,71;13,89;2,06;0,89;3,91;0,72;3,63;18,08;NA;NA;NA;137,00;63,00;10,69;1334507,00
Aragón;02;2014;real;18,96;134,53;23,91;5,16;10,62;7,10;0,75;14,97;2,15;0,88;4,30;0,73;3,67;16,04;NA;NA;NA;121,00;NA;8,81;1328336,00
Aragón;02;2015;real;19,22;138,44;18,66;5,54;9,78;8,08;0,74;14,85;2,21;0,88;4,37;0,74;3,68;16,02;4,62;1535750491,04;33265930000,00;108,00;61,00;9,38;1321730,00
Aragón;02;2016;real;20,42;139,82;21,54;2,92;11,63;7,84;0,71;13,73;2,18;0,88;4,47;0,74;3,71;16,16;5,08;1754952441,55;34542128000,00;99,26;79,42;8,02;1316742,00
Aragón;02;2017;real;20,18;135,57;20,91;4,18;10,55;8,00;0,72;14,15;2,21;0,88;4,51;0,74;3,75;16,28;5,13;1845830789,42;35983544000,00;88,80;90,97;8,54;1315713,00
Aragón;02;2018;real;20,24;127,70;20,96;3,87;9,97;7,04;0,68;12,67;2,29;0,88;4,56;0,74;3,75;16,16;5,22;1943284163,95;37213896000,00;89,83;89,80;9,03;1315733,00
Aragón;02;2019;real;19,44;124,07;18,23;4,12;10,92;6,51;0,66;12,17;2,30;0,88;4,96;0,77;3,63;15,60;5,05;1943284163,95;38465053000,00;112,66;100,37;8,54;1324279,00
Aragón;02;2020;real;17,91;126,42;20,41;4,22;9,77;7,46;0,68;12,96;2,34;0,88;3,76;0,77;3,65;14,96;5,59;2011375281,29;35955571000,00;180,39;146,97;9,13;1331116,00
Aragón;02;2021;real;18,91;128,26;16,95;3,15;10,21;5,34;0,61;10,49;2,42;0,88;4,88;0,83;3,70;14,77;5,92;2295688201,41;38782157000,00;183,20;159,59;7,66;1312793,00
Aragón;02;2022;real;18,61;120,72;20,28;3,63;8,28;6,50;0,63;11,07;2,36;0,88;4,80;0,82;3,67;15,11;5,01;2185911149,50;43668835000,00;127,78;79,91;9,29;1334478,00
Aragón;02;2023;real;20,68;119,18;19,30;3,14;10,01;7,48;0,64;11,48;2,37;0,88;5,03;0,81;3,51;14,84;5,30;2481490321,17;46778120000,00;146,41;106,18;7,68;1354144,00
Aragón;02;2024;proyeccion;19,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,33;NA;NA;NA;NA;NA;NA;NA
Aragón;02;2024;real;NA;112,40;18,14;3,56;9,86;7,82;0,64;11,34;2,43;0,87;5,08;0,82;3,54;NA;5,45;2704508197,54;49634925000,00;144,47;128,43;7,34;1348612,00
Aragón;02;2025;proyeccion;19,72;NA;NA;NA;NA;NA;0,61;10,64;2,44;0,87;5,07;0,83;3,52;14,12;NA;NA;NA;NA;NA;7,73;NA
Aragón;02;2025;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,23;2704508197,54;51706151620,83;132,00;138,00;NA;1374302,00
Aragón;02;2026;proyeccion;19,72;NA;NA;NA;NA;NA;0,60;10,31;2,47;0,87;5,15;0,84;3,50;13,93;5,31;NA;NA;134,97;124,57;7,60;1382215,79
Canarias;05;1990;real;NA;8,52;76,46;24,82;37,45;16,08;1,71;46,93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1490047,00
Canarias;05;1991;real;NA;8,30;79,32;26,54;37,57;13,81;1,74;47,65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1499710,00
Canarias;05;1992;real;NA;8,66;84,03;19,76;36,18;15,73;1,61;43,48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1513441,00
Canarias;05;1993;real;NA;8,22;77,64;25,89;33,53;15,45;1,70;46,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1527452,00
Canarias;05;1994;real;NA;8,28;76,58;25,59;32,08;11,96;1,61;43,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1542442,00
Canarias;05;1995;real;NA;8,33;70,69;20,18;32,93;12,11;1,45;38,27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1558964,00
Canarias;05;1996;real;NA;8,46;75,89;19,70;34,37;14,50;1,52;40,65;1,38;NA;2,26;NA;4,77;NA;NA;NA;NA;NA;NA;NA;1577514,00
Canarias;05;1997;real;NA;7,34;80,40;17,43;30,82;12,00;1,41;36,95;1,47;NA;2,33;NA;4,73;NA;NA;NA;NA;NA;NA;3,65;1600482,00
Canarias;05;1998;real;NA;8,72;78,28;19,20;30,01;14,81;1,49;39,45;1,45;NA;2,37;NA;4,67;NA;NA;NA;NA;NA;NA;4,10;1628238,00
Canarias;05;1999;real;NA;171,12;73,76;19,31;26,71;13,42;1,72;47,04;1,65;NA;2,83;NA;4,91;NA;NA;NA;NA;NA;NA;5,17;1660950,00
Canarias;05;2000;real;NA;167,24;72,93;18,67;27,28;11,58;1,66;45,26;1,41;NA;2,43;NA;4,52;NA;NA;NA;NA;NA;NA;7,98;1706537,00
Canarias;05;2001;real;NA;164,35;69,73;17,69;23,87;12,59;1,60;43,14;1,51;NA;2,54;NA;4,39;NA;NA;NA;NA;NA;NA;7,01;1756714,00
Canarias;05;2002;real;NA;160,39;64,35;17,46;24,14;9,69;1,51;40,16;1,53;NA;2,53;NA;4,22;20,06;NA;NA;NA;NA;NA;8,43;1801281,00
Canarias;05;2003;real;NA;161,84;62,23;17,68;21,98;9,43;1,48;39,21;1,55;NA;2,64;NA;4,13;20,55;NA;NA;NA;NA;NA;6,51;1844117,00
