dimension,codigo,indicador,continuidad,tramo_continuo,primer_anio,ultimo_anio,canarias_continua
1. Población y estado de salud,1000,Esperanza de vida al nacer,Continua 2015→último,1991–2023,1991,2023,Sí
1. Población y estado de salud,1010,Esperanza de vida a los 65 años,Continua 2015→último,1991–2023,1991,2023,Sí
1. Población y estado de salud,1020,Limitación para la realización de actividades relacionadas con el hogar en 65 y más años,Salpicada (oleadas),—,2014,2023,No/huecos
1. Población y estado de salud,1030,Dificultad para la movilidad en 65 y más años,Salpicada (oleadas),—,2014,2023,No/huecos
1. Población y estado de salud,1040,Años de vida saludable al nacer,Continua 2015→último,2006–2023,2006,2023,Sí
1. Población y estado de salud,1050,Años de vida saludable a los 65 años,Continua 2015→último,2006–2023,2006,2023,Sí
1. Población y estado de salud,1060,Porcentaje de población con valoración positiva de su estado de salud,Salpicada (oleadas),—,1993,2023,No/huecos
1. Población y estado de salud,1070,Porcentaje de población de 65 años y más años con valoración positiva de su estado de salud,Salpicada (oleadas),—,1993,2023,No/huecos
1. Población y estado de salud,1080,Porcentaje de población adulta en riesgo de mala salud mental,Salpicada (oleadas),—,2006,2017,No/huecos
1. Población y estado de salud,1090,Índice de calidad de vida infantil relacionada con la salud,Salpicada (oleadas),—,2006,2023,No/huecos
1. Población y estado de salud,1100,Deterioro cognitivo en 65 y más años,Salpicada (oleadas),—,2017,2023,No/huecos
2. Mortalidad,1130,Tasa de mortalidad ajustada por edad por cardiopatía isquémica por 100 000 hab.,Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1140,"Tasa de mortalidad ajustada por edad, por enfermedad cerebrovascular por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1150,"Tasa de mortalidad ajustada por edad por cáncer, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1160,"Tasa de mortalidad ajustada por edad por enfermedad pulmonar obstructiva crónica, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1170,"Tasa de mortalidad ajustada por edad por neumonía e influenza, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1180,"Tasa de mortalidad ajustada por edad por enfermedad crónica del hígado, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1190,"Tasa de mortalidad ajustada por edad por diabetes mellitus, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1210,"Tasa de mortalidad ajustada por edad por suicidio, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1240,"Tasa de mortalidad prematura por cáncer, ajustada por edad, por 100 000 hab",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1250,"Tasa de mortalidad prematura por cardiopatía isquémica, ajustada por edad, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1260,"Tasa de mortalidad prematura por diabetes mellitus, ajustada por edad, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
2. Mortalidad,1270,"Tasa de mortalidad prematura por enfermedad vascular cerebral, ajustada por edad, por 100 000 hab.",Continua 2015→último,1990–2024,1990,2024,Sí
