ccaa;periodo;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;precio_alquiler_periodo_label;precio_alquiler;precio_venta_periodo_label;precio_venta;retrasos_pagos;salario_destinado
Andalucía;2004;real;17,70;18,60;NA;NA;NA;NA;NA;NA;12,60;NA
Andalucía;2005;real;13,60;10,90;NA;NA;NA;NA;NA;NA;7,30;NA
Andalucía;2006;real;18,00;6,50;NA;NA;2006;9,62;NA;NA;8,70;NA
Andalucía;2007;real;14,70;5,60;NA;NA;2007;8,64;NA;NA;10,10;NA
Andalucía;2008;real;17,20;6,80;7,30;NA;2008;8,01;2008;881,00;7,60;0,55
Andalucía;2009;real;20,40;5,70;8,60;NA;2009;7,29;2009;1927,00;10,60;0,49
Andalucía;2010;real;23,30;4,60;7,80;NA;2010;6,87;NA;NA;12,90;0,47
Andalucía;2011;real;18,10;7,50;11,20;NA;2011;6,74;2011;1745,00;13,80;0,44
Andalucía;2012;real;21,80;6,60;8,70;NA;2012;6,45;2012;1469,00;15,50;0,43
Andalucía;2013;real;26,10;6,40;9,20;NA;2013;6,06;2013;4000,00;13,40;0,41
Andalucía;2014;real;25,80;7,10;11,40;322,30;2014;5,97;2014;1293,67;15,80;0,40
Andalucía;2015;real;16,90;5,60;8,80;341,00;2015;6,14;2015;1736,67;13,80;0,41
Andalucía;2016;real;25,30;6,90;9,40;356,50;2016;6,44;2016;1491,67;13,20;0,43
Andalucía;2017;real;14,20;6,60;8,20;355,90;2017;6,85;2017;1184,67;11,20;0,45
Andalucía;2018;real;17,40;6,40;7,30;340,10;2018;7,60;2018;1251,67;15,70;0,50
Andalucía;2019;real;10,80;8,50;8,00;337,50;2019;8,12;2019;1267,33;11,30;0,52
Andalucía;2020;real;14,80;8,10;6,00;332,70;2020;8,61;2020;1515,33;19,00;0,55
Andalucía;2021;proyeccion;NA;NA;NA;342,33;NA;NA;NA;NA;NA;NA
Andalucía;2021;real;12,50;6,90;10,10;NA;2021;8,59;2021;1563,67;17,00;0,53
Andalucía;2022;proyeccion;NA;NA;NA;343,58;NA;NA;NA;NA;NA;NA
Andalucía;2022;real;11,70;7,60;9,40;NA;2022;9,08;2022;1581,67;16,30;0,55
Andalucía;2023;proyeccion;NA;NA;NA;341,62;NA;NA;NA;NA;NA;NA
Andalucía;2023;real;13,60;8,10;8,70;NA;2023;10,09;2023;1678,00;15,60;0,58
Andalucía;2024;proyeccion;12,03;7,67;7,98;341,62;NA;NA;NA;NA;15,24;0,62
Andalucía;2024;real;NA;NA;NA;NA;2024;11,26;2024;1818,00;NA;NA
Andalucía;2025;proyeccion;12,95;7,73;8,07;341,62;NA;NA;NA;NA;14,87;0,67
Andalucía;2025;real;NA;NA;NA;NA;2025;12,52;2025-07;2079,67;NA;NA
Andalucía;2026;proyeccion;12,22;7,77;7,91;341,62;NA;NA;NA;NA;14,67;0,70
Andalucía;2026;real;NA;NA;NA;NA;2026-03;13,42;NA;NA;NA;NA
Aragón;2004;real;4,10;9,00;NA;NA;NA;NA;NA;NA;4,40;NA
Aragón;2005;real;5,30;5,50;NA;NA;NA;NA;NA;NA;3,20;NA
Aragón;2006;real;7,20;6,00;NA;NA;NA;NA;NA;NA;3,90;NA
Aragón;2007;real;5,60;4,70;NA;NA;NA;NA;2007;4127,00;5,70;NA
Aragón;2008;real;3,10;3,10;7,50;NA;2008;7,92;NA;NA;3,40;0,50
Aragón;2009;real;4,20;4,10;7,30;NA;2009;7,36;2009;1399,00;3,40;0,45
Aragón;2010;real;5,00;1,90;5,40;NA;2010;6,92;NA;NA;5,50;0,42
Aragón;2011;real;4,70;2,70;7,80;NA;2011;6,95;2011;1562,00;5,50;0,42
Aragón;2012;real;5,30;1,40;7,70;NA;2012;6,67;2012;812,00;4,10;0,42
Aragón;2013;real;15,80;3,90;9,80;NA;2013;6,15;2013;1024,67;11,60;0,39
Aragón;2014;real;10,50;1,80;9,10;44,80;2014;5,86;2014;2388,00;11,10;0,36
Aragón;2015;real;6,50;1,20;6,40;46,80;2015;5,98;2015;1729,00;8,10;0,37
Aragón;2016;real;5,30;1,50;5,00;49,80;2016;6,26;2016;1567,00;8,20;0,39
Aragón;2017;real;4,00;1,90;4,10;51,10;2017;6,58;2017;1921,33;3,70;0,39
Aragón;2018;real;4,50;4,70;5,20;50,10;2018;7,04;2018;1571,67;3,90;0,40
Aragón;2019;real;3,40;6,10;4,90;49,40;2019;7,44;2019;1262,67;3,80;0,43
Aragón;2020;real;5,50;4,80;5,90;51,40;2020;7,75;2020;1352,67;5,40;0,44
Aragón;2021;proyeccion;NA;NA;NA;52,03;NA;NA;NA;NA;NA;NA
Aragón;2021;real;7,50;6,10;6,70;NA;2021;7,89;2021;1455,00;12,40;0,43
Aragón;2022;proyeccion;NA;NA;NA;52,29;NA;NA;NA;NA;NA;NA
Aragón;2022;real;6,90;3,10;6,90;NA;2022;8,13;2022;1369,67;8,80;0,43
Aragón;2023;proyeccion;NA;NA;NA;52,47;NA;NA;NA;NA;NA;NA
Aragón;2023;real;9,60;4,30;7,60;NA;2023;8,47;2023;1575,67;11,90;0,43
Aragón;2024;proyeccion;7,74;4,06;7,54;52,70;NA;NA;NA;NA;10,02;0,45
Aragón;2024;real;NA;NA;NA;NA;2024;9,14;2024;1625,67;NA;NA
Aragón;2025;proyeccion;8,04;4,48;7,55;52,96;NA;NA;NA;NA;11,24;0,49
Aragón;2025;real;NA;NA;NA;NA;2025;10,04;2025-07;1689,00;NA;NA
Aragón;2026;proyeccion;8,53;4,89;7,53;54,43;NA;NA;NA;NA;11,05;0,50
Aragón;2026;real;NA;NA;NA;NA;2026-03;10,72;NA;NA;NA;NA
Canarias;2004;real;23,90;26,00;NA;NA;NA;NA;NA;NA;11,10;NA
Canarias;2005;real;19,10;14,30;NA;NA;NA;NA;NA;NA;10,70;NA
Canarias;2006;real;17,30;12,90;NA;NA;NA;NA;NA;NA;8,40;NA
Canarias;2007;real;15,10;10,20;NA;NA;2007;9,62;NA;NA;12,00;NA
Canarias;2008;real;18,60;9,30;11,00;NA;2008;8,85;NA;NA;11,00;0,68
Canarias;2009;real;20,60;9,60;9,60;NA;2009;7,93;NA;NA;20,80;0,59
Canarias;2010;real;17,00;11,60;12,40;NA;2010;7,49;NA;NA;15,10;0,57
Canarias;2011;real;12,80;11,00;9,90;NA;2011;7,16;2011;1367,00;12,00;0,52
Canarias;2012;real;19,20;13,70;12,80;NA;2012;6,78;NA;NA;10,20;0,49
Canarias;2013;real;17,20;11,50;11,20;NA;2013;6,40;NA;NA;20,00;0,47
Canarias;2014;real;19,00;12,10;10,60;94,10;2014;6,45;2014;1667,00;16,80;0,47
Canarias;2015;real;34,80;14,90;13,00;102,40;2015;6,70;2015;990,00;18,90;0,47
Canarias;2016;real;36,10;14,70;11,10;103,30;2016;7,12;2016;1571,00;16,70;0,51
Canarias;2017;real;19,30;6,80;12,10;102,00;2017;8,04;2017;1808,00;21,10;0,56
Canarias;2018;real;15,30;6,20;12,50;102,70;2018;9,23;2018;1749,00;11,90;0,64
Canarias;2019;real;14,80;12,80;11,60;106,10;2019;9,84;2019;1977,50;9,90;0,68
Canarias;2020;real;15,60;14,30;13,30;114,60;2020;9,93;2020;1887,50;23,00;0,67
Canarias;2021;proyeccion;NA;NA;NA;110,51;NA;NA;NA;NA;NA;NA
Canarias;2021;real;15,20;17,60;15,00;NA;2021;9,89;2021;2217,50;26,20;0,65
Canarias;2022;proyeccion;NA;NA;NA;112,66;NA;NA;NA;NA;NA;NA
Canarias;2022;real;13,40;16,20;14,80;NA;2022;10,89;2022;2084,50;20,00;0,68
Canarias;2023;proyeccion;NA;NA;NA;112,33;NA;NA;NA;NA;NA;NA
Canarias;2023;real;9,90;18,00;8,60;NA;2023;12,39;2023;2210,00;21,30;0,75
Canarias;2024;proyeccion;10,96;14,45;9,31;113,56;NA;NA;NA;NA;17,92;0,80
Canarias;2024;real;NA;NA;NA;NA;2024;13,78;2024;2468,50;NA;NA
Canarias;2025;proyeccion;9,72;13,21;9,84;114,16;NA;NA;NA;NA;18,80;0,83
Canarias;2025;real;NA;NA;NA;NA;2025;14,84;2025-07;2908,50;NA;NA
Canarias;2026;proyeccion;9,63;12,94;10,51;114,32;NA;NA;NA;NA;18,85;0,84
Canarias;2026;real;NA;NA;NA;NA;2026-03;15,62;NA;NA;NA;NA
Cantabria;2004;real;8,50;9,60;NA;NA;NA;NA;NA;NA;2,20;NA
Cantabria;2005;real;3,70;7,60;NA;NA;NA;NA;NA;NA;3,10;NA
Cantabria;2006;real;10,00;8,40;NA;NA;NA;NA;NA;NA;2,70;NA
Cantabria;2007;real;4,40;6,20;NA;NA;2007;13,68;NA;NA;3,80;NA
Cantabria;2008;real;11,00;6,20;10,60;NA;2008;11,54;NA;NA;3,60;0,79
Cantabria;2009;real;6,10;2,70;12,00;NA;2009;9,53;2009;1994,00;4,50;0,64
Cantabria;2010;real;14,10;1,80;9,10;NA;2010;8,43;NA;NA;3,40;0,56
Cantabria;2011;real;7,20;1,10;9,00;NA;2011;7,47;NA;NA;9,00;0,50
Cantabria;2012;real;8,10;3,80;12,00;NA;2012;6,85;NA;NA;3,20;0,48
Cantabria;2013;real;14,90;4,10;11,50;NA;2013;6,16;2013;2375,00;7,80;0,42
Cantabria;2014;real;18,30;0,80;8,20;24,40;2014;6,02;2014;1126,00;8,20;0,39
Cantabria;2015;real;13,20;3,10;7,10;23,60;2015;6,01;2015;1493,00;6,30;0,38
Cantabria;2016;real;11,10;7,10;10,10;27,80;2016;6,44;2016;2197,00;5,90;0,42
Cantabria;2017;real;6,10;2,70;6,80;29,70;2017;6,79;2017;1558,00;2,30;0,43
Cantabria;2018;real;8,40;1,90;9,60;27,90;2018;7,09;2018;2062,00;7,10;0,45
Cantabria;2019;real;7,00;1,40;4,90;28,10;2019;7,34;2019;1638,00;3,10;0,44
Cantabria;2020;real;6,10;1,40;5,70;26,40;2020;7,70;2020;1685,00;6,80;0,46
Cantabria;2021;proyeccion;NA;NA;NA;27,38;NA;NA;NA;NA;NA;NA
Cantabria;2021;real;6,90;3,40;5,90;NA;2021;8,13;2021;1873,00;9,00;0,47
Cantabria;2022;proyeccion;NA;NA;NA;27,71;NA;NA;NA;NA;NA;NA
Cantabria;2022;real;5,80;2,60;6,80;NA;2022;8,75;2022;1777,00;5,30;0,49
Cantabria;2023;proyeccion;NA;NA;NA;28,07;NA;NA;NA;NA;NA;NA
Cantabria;2023;real;6,50;4,10;6,80;NA;2023;9,57;2023;1955,00;7,20;0,51
Cantabria;2024;proyeccion;6,33;4,01;6,83;27,98;NA;NA;NA;NA;8,08;0,55
Cantabria;2024;real;NA;NA;NA;NA;2024;10,77;2024;2117,00;NA;NA
Cantabria;2025;proyeccion;6,86;4,63;6,74;28,22;NA;NA;NA;NA;7,73;0,57
Cantabria;2025;real;NA;NA;NA;NA;2025;11,34;2025-07;2446,00;NA;NA
Cantabria;2026;proyeccion;6,64;5,09;6,82;28,17;NA;NA;NA;NA;8,03;0,56
Cantabria;2026;real;NA;NA;NA;NA;2026-03;11,42;NA;NA;NA;NA
Castilla y León;2004;real;6,80;11,90;NA;NA;NA;NA;NA;NA;2,80;NA
Castilla y León;2005;real;6,90;5,70;NA;NA;NA;NA;NA;NA;4,00;NA
Castilla y León;2006;real;8,90;2,20;NA;NA;NA;NA;NA;NA;5,80;NA
Castilla y León;2007;real;4,90;1,70;NA;NA;2007;5,57;NA;NA;5,60;NA
Castilla y León;2008;real;7,80;2,80;3,90;NA;2008;5,79;2008;2198,00;4,00;0,40
Castilla y León;2009;real;13,10;3,20;5,80;NA;2009;5,31;2009;1442,67;7,20;0,36
Castilla y León;2010;real;12,50;3,30;5,50;NA;2010;5,28;2010;940,33;9,20;0,36
Castilla y León;2011;real;6,90;2,20;4,70;NA;2011;5,60;2011;1204,67;7,70;0,37
Castilla y León;2012;real;7,70;0,60;6,90;NA;2012;5,61;2012;1528,88;6,60;0,39
Castilla y León;2013;real;10,50;1,00;7,00;NA;2013;5,30;2013;1449,80;3,20;0,36
Castilla y León;2014;real;12,50;2,70;9,40;89,10;2014;5,17;2014;1084,67;4,70;0,35
Castilla y León;2015;real;10,20;1,80;8,60;89,20;2015;5,24;2015;1146,38;5,30;0,34
Castilla y León;2016;real;5,30;2,50;5,80;94,10;2016;5,39;2016;1298,14;5,80;0,35
Castilla y León;2017;real;4,60;1,90;5,60;92,10;2017;5,71;2017;1388,50;2,40;0,37
Castilla y León;2018;real;3,80;0,80;4,40;94,60;2018;6,04;2018;1425,38;3,20;0,38
Castilla y León;2019;real;3,20;1,00;3,90;102,40;2019;6,38;2019;1421,38;3,10;0,40
Castilla y León;2020;real;8,40;1,60;4,30;106,70;2020;6,69;2020;1347,88;6,90;0,41
Castilla y León;2021;proyeccion;NA;NA;NA;101,90;NA;NA;NA;NA;NA;NA
Castilla y León;2021;real;6,70;2,30;6,70;NA;2021;6,87;2021;1336,00;10,00;0,41
Castilla y León;2022;proyeccion;NA;NA;NA;102,33;NA;NA;NA;NA;NA;NA
Castilla y León;2022;real;6,80;2,10;6,90;NA;2022;7,10;2022;1365,25;10,40;0,41
Castilla y León;2023;proyeccion;NA;NA;NA;101,57;NA;NA;NA;NA;NA;NA
Castilla y León;2023;real;7,70;2,80;6,90;NA;2023;7,52;2023;1423,75;9,60;0,41
Castilla y León;2024;proyeccion;7,72;4,41;7,75;101,08;NA;NA;NA;NA;9,54;0,44
Castilla y León;2024;real;NA;NA;NA;NA;2024;8,15;2024;1488,12;NA;NA
Castilla y León;2025;proyeccion;7,87;4,59;7,75;102,13;NA;NA;NA;NA;9,71;0,46
Castilla y León;2025;real;NA;NA;NA;NA;2025;8,96;2025-07;1638,50;NA;NA
Castilla y León;2026;proyeccion;7,86;5,48;8,04;102,13;NA;NA;NA;NA;10,39;0,48
Castilla y León;2026;real;NA;NA;NA;NA;2026-03;9,52;NA;NA;NA;NA
Castilla-La Mancha;2004;real;9,80;7,00;NA;NA;NA;NA;NA;NA;3,10;NA
Castilla-La Mancha;2005;real;7,40;4,70;NA;NA;NA;NA;NA;NA;5,30;NA
Castilla-La Mancha;2006;real;11,40;2,70;NA;NA;NA;NA;NA;NA;8,00;NA
Castilla-La Mancha;2007;real;12,40;3,60;NA;NA;2007;5,45;NA;NA;5,30;NA
Castilla-La Mancha;2008;real;14,10;5,90;5,60;NA;2008;5,55;2008;1348,67;9,70;0,40
Castilla-La Mancha;2009;real;20,10;3,80;6,70;NA;2009;5,27;2009;1200,00;12,40;0,37
Castilla-La Mancha;2010;real;16,60;3,50;7,40;NA;2010;5,07;2010;1098,00;9,20;0,35
Castilla-La Mancha;2011;real;10,70;4,80;9,50;NA;2011;5,14;2011;845,00;9,00;0,35
Castilla-La Mancha;2012;real;14,60;6,20;13,10;NA;2012;5,07;2012;1300,33;8,50;0,35
Castilla-La Mancha;2013;real;21,80;4,50;10,70;NA;2013;4,71;2013;687,50;15,50;0,32
Castilla-La Mancha;2014;real;16,10;2,30;9,60;63,00;2014;4,47;2014;1203,00;13,50;0,30
Castilla-La Mancha;2015;real;17,00;3,90;8,10;73,80;2015;4,47;2015;1209,33;13,10;0,30
Castilla-La Mancha;2016;real;16,90;4,80;11,70;76,20;2016;4,59;2016;1307,25;16,60;0,31
Castilla-La Mancha;2017;real;9,40;4,00;10,10;71,20;2017;4,75;2017;892,40;4,90;0,32
Castilla-La Mancha;2018;real;9,30;0,90;10,20;73,60;2018;5,04;2018;1093,80;9,10;0,33
Castilla-La Mancha;2019;real;6,20;1,90;7,40;72,90;2019;5,31;2019;1173,80;6,20;0,34
