"ccaa","codigo_ccaa","periodo","periodo_label","precio_alquiler_m2","fuente_url","fetched_at"
"Andalucía","01","2006","2006",9.62,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2007","2007",8.64,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2008","2008",8.01,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2009","2009",7.29,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2010","2010",6.87,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2011","2011",6.74,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2012","2012",6.45,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2013","2013",6.06,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2014","2014",5.97,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2015","2015",6.14,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2016","2016",6.44,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2017","2017",6.85,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2018","2018",7.6,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2019","2019",8.12,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2020","2020",8.61,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2021","2021",8.59,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2022","2022",9.08,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2023","2023",10.09,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2024","2024",11.26,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2025","2025",12.52,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Andalucía","01","2026","2026",13.29,"idealista_historico_ccaa","2026-04-22T13:46:52.306299+00:00"
"Aragón","02","2008","2008",7.92,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2009","2009",7.36,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2010","2010",6.92,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2011","2011",6.95,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2012","2012",6.67,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2013","2013",6.15,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2014","2014",5.86,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2015","2015",5.98,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2016","2016",6.26,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2017","2017",6.58,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2018","2018",7.04,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2019","2019",7.44,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2020","2020",7.75,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2021","2021",7.89,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2022","2022",8.13,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2023","2023",8.47,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2024","2024",9.14,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2025","2025",10.04,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Aragón","02","2026","2026",10.59,"idealista_historico_ccaa","2026-04-22T13:57:37.969448+00:00"
"Asturias","03","2008","2008",9.85,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2009","2009",8.23,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2010","2010",7.6,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2011","2011",7.17,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2012","2012",6.69,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2013","2013",6.26,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2014","2014",6.02,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2015","2015",6.01,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2016","2016",6.2,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2017","2017",6.47,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2018","2018",6.76,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2019","2019",7.08,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2020","2020",7.28,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2021","2021",7.49,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2022","2022",7.73,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2023","2023",8.16,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2024","2024",8.96,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2025","2025",9.86,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Asturias","03","2026","2026",10.42,"idealista_historico_ccaa","2026-04-22T13:51:33.330424+00:00"
"Baleares","04","2007","2007",14.04,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2008","2008",12.54,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2009","2009",10.67,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2010","2010",9.75,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2011","2011",8.74,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2012","2012",8.13,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2013","2013",7.6,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2014","2014",7.74,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2015","2015",8.41,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2016","2016",9.96,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2017","2017",11.99,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2018","2018",12.45,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2019","2019",12.42,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2020","2020",12.25,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2021","2021",11.51,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2022","2022",12.88,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2023","2023",15.6,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2024","2024",17.88,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2025","2025",19.11,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Baleares","04","2026","2026",19.45,"idealista_historico_ccaa","2026-04-22T13:48:15.40534+00:00"
"Canarias","05","2007","2007",9.62,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2008","2008",8.85,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2009","2009",7.93,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2010","2010",7.49,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2011","2011",7.16,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2012","2012",6.78,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2013","2013",6.4,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2014","2014",6.45,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2015","2015",6.7,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2016","2016",7.12,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2017","2017",8.04,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2018","2018",9.23,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2019","2019",9.84,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2020","2020",9.93,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2021","2021",9.89,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2022","2022",10.89,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2023","2023",12.39,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2024","2024",13.78,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2025","2025",14.84,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Canarias","05","2026","2026",15.45,"idealista_historico_ccaa","2026-04-22T13:40:48.192696+00:00"
"Cantabria","06","2007","2007",13.68,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2008","2008",11.54,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2009","2009",9.53,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2010","2010",8.43,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2011","2011",7.47,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2012","2012",6.85,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2013","2013",6.16,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2014","2014",6.02,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2015","2015",6.01,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2016","2016",6.44,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2017","2017",6.79,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2018","2018",7.09,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2019","2019",7.34,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2020","2020",7.7,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2021","2021",8.13,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2022","2022",8.75,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2023","2023",9.57,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2024","2024",10.77,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2025","2025",11.34,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Cantabria","06","2026","2026",11.25,"idealista_historico_ccaa","2026-04-22T13:54:44.185787+00:00"
"Castilla y León","07","2007","2007",5.57,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2008","2008",5.79,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2009","2009",5.31,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2010","2010",5.28,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2011","2011",5.6,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2012","2012",5.61,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2013","2013",5.3,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2014","2014",5.17,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2015","2015",5.24,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2016","2016",5.39,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2017","2017",5.71,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2018","2018",6.04,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2019","2019",6.38,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2020","2020",6.69,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2021","2021",6.87,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2022","2022",7.1,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2023","2023",7.52,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2024","2024",8.15,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2025","2025",8.96,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla y León","07","2026","2026",9.42,"idealista_historico_ccaa","2026-04-22T13:45:35.435645+00:00"
"Castilla-La Mancha","08","2007","2007",5.45,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2008","2008",5.55,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2009","2009",5.27,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2010","2010",5.07,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2011","2011",5.14,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2012","2012",5.07,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2013","2013",4.71,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2014","2014",4.47,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2015","2015",4.47,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2016","2016",4.59,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2017","2017",4.75,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2018","2018",5.04,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2019","2019",5.31,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2020","2020",5.55,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2021","2021",5.84,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2022","2022",6.12,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2023","2023",6.48,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2024","2024",7.07,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2025","2025",7.89,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Castilla-La Mancha","08","2026","2026",8.52,"idealista_historico_ccaa","2026-04-22T13:44:20.285754+00:00"
"Cataluña","09","2006","2006",11.51,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2007","2007",11.23,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2008","2008",10.62,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2009","2009",9.79,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2010","2010",9.75,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2011","2011",9.8,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2012","2012",9.45,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2013","2013",8.78,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2014","2014",8.76,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2015","2015",9.61,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2016","2016",10.83,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2017","2017",12.56,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2018","2018",13.29,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2019","2019",13.57,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2020","2020",13.89,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2021","2021",13.03,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2022","2022",13.72,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2023","2023",15.36,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2024","2024",17.13,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
